Country_1,Country_2,Cooperation_Count,Country_Pair
Singapore,Slovenia,6,"('Singapore', 'Slovenia')"
Austria,New Zealand,2,"('Austria', 'New Zealand')"
Colombia,New Zealand,2,"('Colombia', 'New Zealand')"
New Zealand,Pakistan,2,"('New Zealand', 'Pakistan')"
Lithuania,New Zealand,2,"('Lithuania', 'New Zealand')"
New Zealand,Vietnam,5,"('New Zealand', 'Vietnam')"
Italy,New Zealand,2,"('Italy', 'New Zealand')"
Mexico,New Zealand,2,"('Mexico', 'New Zealand')"
New Zealand,Portugal,2,"('New Zealand', 'Portugal')"
New Zealand,South Korea,4,"('New Zealand', 'South Korea')"
Malaysia,New Zealand,6,"('Malaysia', 'New Zealand')"
Croatia,New Zealand,2,"('Croatia', 'New Zealand')"
Denmark,New Zealand,2,"('Denmark', 'New Zealand')"
Brazil,New Zealand,5,"('Brazil', 'New Zealand')"
New Zealand,Paulina Man Kei,2,"('New Zealand', 'Paulina Man Kei')"
New Zealand,Singapore,4,"('New Zealand', 'Singapore')"
Austria,Colombia,2,"('Austria', 'Colombia')"
Austria,Pakistan,2,"('Austria', 'Pakistan')"
Australia,Austria,8,"('Australia', 'Austria')"
Austria,Lithuania,2,"('Austria', 'Lithuania')"
Austria,Vietnam,2,"('Austria', 'Vietnam')"
Austria,Italy,2,"('Austria', 'Italy')"
Austria,Mexico,2,"('Austria', 'Mexico')"
Austria,Portugal,3,"('Austria', 'Portugal')"
Austria,South Korea,2,"('Austria', 'South Korea')"
Austria,Malaysia,2,"('Austria', 'Malaysia')"
Austria,Croatia,2,"('Austria', 'Croatia')"
Austria,Peoples R China,8,"('Austria', 'Peoples R China')"
Austria,Finland,1,"('Austria', 'Finland')"
Austria,Denmark,2,"('Austria', 'Denmark')"
Austria,Brazil,4,"('Austria', 'Brazil')"
Austria,Paulina Man Kei,1,"('Austria', 'Paulina Man Kei')"
Austria,Singapore,5,"('Austria', 'Singapore')"
Colombia,Pakistan,2,"('Colombia', 'Pakistan')"
Australia,Colombia,8,"('Australia', 'Colombia')"
Colombia,Lithuania,2,"('Colombia', 'Lithuania')"
Colombia,Vietnam,2,"('Colombia', 'Vietnam')"
Colombia,Italy,2,"('Colombia', 'Italy')"
Colombia,Mexico,3,"('Colombia', 'Mexico')"
Colombia,Portugal,3,"('Colombia', 'Portugal')"
Colombia,South Korea,2,"('Colombia', 'South Korea')"
Colombia,Malaysia,2,"('Colombia', 'Malaysia')"
Colombia,Croatia,2,"('Colombia', 'Croatia')"
Colombia,Peoples R China,8,"('Colombia', 'Peoples R China')"
Colombia,Finland,1,"('Colombia', 'Finland')"
Colombia,Denmark,1,"('Colombia', 'Denmark')"
Brazil,Colombia,4,"('Brazil', 'Colombia')"
Colombia,Paulina Man Kei,1,"('Colombia', 'Paulina Man Kei')"
Colombia,Singapore,4,"('Colombia', 'Singapore')"
Australia,Pakistan,7,"('Australia', 'Pakistan')"
Lithuania,Pakistan,2,"('Lithuania', 'Pakistan')"
Pakistan,Vietnam,3,"('Pakistan', 'Vietnam')"
Italy,Pakistan,2,"('Italy', 'Pakistan')"
Mexico,Pakistan,3,"('Mexico', 'Pakistan')"
Pakistan,Portugal,3,"('Pakistan', 'Portugal')"
Pakistan,South Korea,2,"('Pakistan', 'South Korea')"
Malaysia,Pakistan,2,"('Malaysia', 'Pakistan')"
Croatia,Pakistan,2,"('Croatia', 'Pakistan')"
Pakistan,Peoples R China,17,"('Pakistan', 'Peoples R China')"
Finland,Pakistan,2,"('Finland', 'Pakistan')"
Denmark,Pakistan,2,"('Denmark', 'Pakistan')"
Brazil,Pakistan,4,"('Brazil', 'Pakistan')"
Pakistan,Paulina Man Kei,1,"('Pakistan', 'Paulina Man Kei')"
Pakistan,Singapore,4,"('Pakistan', 'Singapore')"
Australia,Lithuania,7,"('Australia', 'Lithuania')"
Australia,Vietnam,12,"('Australia', 'Vietnam')"
Australia,Mexico,7,"('Australia', 'Mexico')"
Australia,Croatia,7,"('Australia', 'Croatia')"
Australia,Brazil,16,"('Australia', 'Brazil')"
Australia,Paulina Man Kei,2,"('Australia', 'Paulina Man Kei')"
Lithuania,Vietnam,2,"('Lithuania', 'Vietnam')"
Italy,Lithuania,2,"('Italy', 'Lithuania')"
Lithuania,Mexico,2,"('Lithuania', 'Mexico')"
Lithuania,Portugal,3,"('Lithuania', 'Portugal')"
Lithuania,South Korea,2,"('Lithuania', 'South Korea')"
Lithuania,Malaysia,2,"('Lithuania', 'Malaysia')"
Croatia,Lithuania,2,"('Croatia', 'Lithuania')"
Lithuania,Peoples R China,8,"('Lithuania', 'Peoples R China')"
Denmark,Lithuania,1,"('Denmark', 'Lithuania')"
Brazil,Lithuania,4,"('Brazil', 'Lithuania')"
Lithuania,Paulina Man Kei,1,"('Lithuania', 'Paulina Man Kei')"
Lithuania,Singapore,4,"('Lithuania', 'Singapore')"
Italy,Vietnam,2,"('Italy', 'Vietnam')"
Mexico,Vietnam,2,"('Mexico', 'Vietnam')"
Portugal,Vietnam,3,"('Portugal', 'Vietnam')"
South Korea,Vietnam,2,"('South Korea', 'Vietnam')"
Malaysia,Vietnam,3,"('Malaysia', 'Vietnam')"
Croatia,Vietnam,2,"('Croatia', 'Vietnam')"
Peoples R China,Vietnam,8,"('Peoples R China', 'Vietnam')"
Finland,Vietnam,2,"('Finland', 'Vietnam')"
Denmark,Vietnam,2,"('Denmark', 'Vietnam')"
Brazil,Vietnam,4,"('Brazil', 'Vietnam')"
Paulina Man Kei,Vietnam,1,"('Paulina Man Kei', 'Vietnam')"
Singapore,Vietnam,4,"('Singapore', 'Vietnam')"
Italy,Mexico,6,"('Italy', 'Mexico')"
Italy,Portugal,14,"('Italy', 'Portugal')"
Italy,South Korea,6,"('Italy', 'South Korea')"
Italy,Malaysia,4,"('Italy', 'Malaysia')"
Croatia,Italy,2,"('Croatia', 'Italy')"
Italy,Peoples R China,17,"('Italy', 'Peoples R China')"
Finland,Italy,1,"('Finland', 'Italy')"
Brazil,Italy,6,"('Brazil', 'Italy')"
Italy,Paulina Man Kei,1,"('Italy', 'Paulina Man Kei')"
Italy,Singapore,7,"('Italy', 'Singapore')"
Mexico,Portugal,11,"('Mexico', 'Portugal')"
Mexico,South Korea,6,"('Mexico', 'South Korea')"
Malaysia,Mexico,6,"('Malaysia', 'Mexico')"
Croatia,Mexico,2,"('Croatia', 'Mexico')"
Mexico,Peoples R China,23,"('Mexico', 'Peoples R China')"
Finland,Mexico,1,"('Finland', 'Mexico')"
Denmark,Mexico,2,"('Denmark', 'Mexico')"
Brazil,Mexico,8,"('Brazil', 'Mexico')"
Mexico,Paulina Man Kei,1,"('Mexico', 'Paulina Man Kei')"
Mexico,Singapore,8,"('Mexico', 'Singapore')"
Portugal,South Korea,7,"('Portugal', 'South Korea')"
Malaysia,Portugal,7,"('Malaysia', 'Portugal')"
Croatia,Portugal,3,"('Croatia', 'Portugal')"
Peoples R China,Portugal,24,"('Peoples R China', 'Portugal')"
Finland,Portugal,1,"('Finland', 'Portugal')"
Denmark,Portugal,2,"('Denmark', 'Portugal')"
Brazil,Portugal,23,"('Brazil', 'Portugal')"
Paulina Man Kei,Portugal,1,"('Paulina Man Kei', 'Portugal')"
Portugal,Singapore,11,"('Portugal', 'Singapore')"
Malaysia,South Korea,4,"('Malaysia', 'South Korea')"
Croatia,South Korea,2,"('Croatia', 'South Korea')"
Denmark,South Korea,1,"('Denmark', 'South Korea')"
Brazil,South Korea,6,"('Brazil', 'South Korea')"
Paulina Man Kei,South Korea,1,"('Paulina Man Kei', 'South Korea')"
Singapore,South Korea,7,"('Singapore', 'South Korea')"
Croatia,Malaysia,2,"('Croatia', 'Malaysia')"
Malaysia,Peoples R China,15,"('Malaysia', 'Peoples R China')"
Finland,Malaysia,1,"('Finland', 'Malaysia')"
Denmark,Malaysia,1,"('Denmark', 'Malaysia')"
Brazil,Malaysia,6,"('Brazil', 'Malaysia')"
Malaysia,Paulina Man Kei,1,"('Malaysia', 'Paulina Man Kei')"
Croatia,Peoples R China,8,"('Croatia', 'Peoples R China')"
Croatia,Finland,1,"('Croatia', 'Finland')"
Croatia,Denmark,1,"('Croatia', 'Denmark')"
Brazil,Croatia,4,"('Brazil', 'Croatia')"
Croatia,Paulina Man Kei,1,"('Croatia', 'Paulina Man Kei')"
Croatia,Singapore,4,"('Croatia', 'Singapore')"
Finland,Peoples R China,6,"('Finland', 'Peoples R China')"
Denmark,Peoples R China,6,"('Denmark', 'Peoples R China')"
Brazil,Peoples R China,22,"('Brazil', 'Peoples R China')"
Paulina Man Kei,Peoples R China,5,"('Paulina Man Kei', 'Peoples R China')"
Peoples R China,Singapore,51,"('Peoples R China', 'Singapore')"
Denmark,Finland,1,"('Denmark', 'Finland')"
Brazil,Finland,2,"('Brazil', 'Finland')"
Finland,Paulina Man Kei,1,"('Finland', 'Paulina Man Kei')"
Finland,Singapore,2,"('Finland', 'Singapore')"
Brazil,Denmark,2,"('Brazil', 'Denmark')"
Denmark,Paulina Man Kei,1,"('Denmark', 'Paulina Man Kei')"
Denmark,Singapore,2,"('Denmark', 'Singapore')"
Brazil,Paulina Man Kei,2,"('Brazil', 'Paulina Man Kei')"
Brazil,Singapore,10,"('Brazil', 'Singapore')"
Paulina Man Kei,Singapore,2,"('Paulina Man Kei', 'Singapore')"
USA,Yongtao,1,"('USA', 'Yongtao')"
Austria,Michaela,2,"('Austria', 'Michaela')"
Chia-Chin,Taiwan,2,"('Chia-Chin', 'Taiwan')"
USA,Weihui,1,"('USA', 'Weihui')"
Peoples R China,Weihui,1,"('Peoples R China', 'Weihui')"
Mauritius,UK,5,"('Mauritius', 'UK')"
Mauritius,USA,2,"('Mauritius', 'USA')"
Canada,Sungchul,1,"('Canada', 'Sungchul')"
Won Yong,Young Kyun,1,"('Won Yong', 'Young Kyun')"
USA,Won Yong,1,"('USA', 'Won Yong')"
USA,Young Kyun,2,"('USA', 'Young Kyun')"
Maarten,Wim,1,"('Maarten', 'Wim')"
Belgium,Maarten,1,"('Belgium', 'Maarten')"
Maarten,Netherlands,1,"('Maarten', 'Netherlands')"
Magdalena,USA,1,"('Magdalena', 'USA')"
Austria,Magdalena,1,"('Austria', 'Magdalena')"
Hoje,USA,9,"('Hoje', 'USA')"
Chellie,Lijijana,1,"('Chellie', 'Lijijana')"
Lijijana,New Zealand,2,"('Lijijana', 'New Zealand')"
France,Tobias,6,"('France', 'Tobias')"
Christian,Moritz,1,"('Christian', 'Moritz')"
Moritz,Switzerland,2,"('Moritz', 'Switzerland')"
Svetlana,USA,1,"('Svetlana', 'USA')"
USA,Yongtae,1,"('USA', 'Yongtae')"
Jose,USA,1,"('Jose', 'USA')"
Canada,Jose,1,"('Canada', 'Jose')"
Jose,Mexico,1,"('Jose', 'Mexico')"
Gerdien,Netherlands,1,"('Gerdien', 'Netherlands')"
Australia,Gerdien,1,"('Australia', 'Gerdien')"
Jenny,UK,1,"('Jenny', 'UK')"
Brazil,India,1,"('Brazil', 'India')"
Javier,Juan,2,"('Javier', 'Juan')"
Javier,Spain,5,"('Javier', 'Spain')"
Javier,UK,1,"('Javier', 'UK')"
Juan,UK,1,"('Juan', 'UK')"
Daejoong,USA,1,"('Daejoong', 'USA')"
Taiwan,Yau-De,2,"('Taiwan', 'Yau-De')"
Carola,UK,7,"('Carola', 'UK')"
Australia,Julie,1,"('Australia', 'Julie')"
Julie,UK,1,"('Julie', 'UK')"
Sebnem,South Korea,1,"('Sebnem', 'South Korea')"
Peoples R China,Suchuan,2,"('Peoples R China', 'Suchuan')"
Alyssa,USA,1,"('Alyssa', 'USA')"
Belgium,Dries,1,"('Belgium', 'Dries')"
Juliette,UK,1,"('Juliette', 'UK')"
Claus,USA,1,"('Claus', 'USA')"
Malaysia,Noor Hazlina,1,"('Malaysia', 'Noor Hazlina')"
USA,Zhanna,3,"('USA', 'Zhanna')"
Lauren,USA,3,"('Lauren', 'USA')"
Lauren,Zhanna,1,"('Lauren', 'Zhanna')"
Javier,Natalia,1,"('Javier', 'Natalia')"
Juan,Natalia,1,"('Juan', 'Natalia')"
Natalia,Spain,2,"('Natalia', 'Spain')"
Cyrlene,France,1,"('Cyrlene', 'France')"
U Arab Emirates,Valerie Priscilla,2,"('U Arab Emirates', 'Valerie Priscilla')"
Carine,France,1,"('Carine', 'France')"
Juergen,Julia,1,"('Juergen', 'Julia')"
Germany,Julia,1,"('Germany', 'Julia')"
Germany,Juergen,1,"('Germany', 'Juergen')"
Germany,Susanne,6,"('Germany', 'Susanne')"
Chieh-Peng,Taiwan,1,"('Chieh-Peng', 'Taiwan')"
Chieh-Peng,France,1,"('Chieh-Peng', 'France')"
Chieh-Peng,UK,1,"('Chieh-Peng', 'UK')"
Annika,UK,1,"('Annika', 'UK')"
Andrea,Spain,6,"('Andrea', 'Spain')"
Kirsten,Lisa,1,"('Kirsten', 'Lisa')"
Kirsten,New Zealand,2,"('Kirsten', 'New Zealand')"
Lisa,New Zealand,2,"('Lisa', 'New Zealand')"
Foo Nin,USA,2,"('Foo Nin', 'USA')"
Fernando,USA,2,"('Fernando', 'USA')"
Fernando,Spain,1,"('Fernando', 'Spain')"
Australia,Fang,1,"('Australia', 'Fang')"
Isabel Costa,Portugal,7,"('Isabel Costa', 'Portugal')"
France,Tanzania,1,"('France', 'Tanzania')"
Finland,Merja,1,"('Finland', 'Merja')"
Belgium,Dendi,1,"('Belgium', 'Dendi')"
Dendi,Netherlands,2,"('Dendi', 'Netherlands')"
Ayse Begum,Turkey,1,"('Ayse Begum', 'Turkey')"
Sebastien,Switzerland,1,"('Sebastien', 'Switzerland')"
Peoples R China,Yong,3,"('Peoples R China', 'Yong')"
Raymond,USA,2,"('Raymond', 'USA')"
Peoples R China,Raymond,4,"('Peoples R China', 'Raymond')"
David,David,2,"('David', 'David')"
Ricardo,Spain,12,"('Ricardo', 'Spain')"
Ricardo,Ruth,2,"('Ricardo', 'Ruth')"
Ricardo,Ricardo,1,"('Ricardo', 'Ricardo')"
Ruth,Spain,4,"('Ruth', 'Spain')"
Cam,Joe,1,"('Cam', 'Joe')"
Cam,Jonathan,1,"('Cam', 'Jonathan')"
Joe,Jonathan,1,"('Joe', 'Jonathan')"
Joe,USA,3,"('Joe', 'USA')"
Jonathan,USA,3,"('Jonathan', 'USA')"
Javier,USA,2,"('Javier', 'USA')"
Raj,USA,2,"('Raj', 'USA')"
India,Raj,1,"('India', 'Raj')"
Anna,Johanna,1,"('Anna', 'Johanna')"
Anna,Finland,4,"('Anna', 'Finland')"
Norway,UK,13,"('Norway', 'UK')"
Belgium,Spain,11,"('Belgium', 'Spain')"
Belgium,Norway,7,"('Belgium', 'Norway')"
South Korea,Youri,2,"('South Korea', 'Youri')"
Praveen,Rajiv,1,"('Praveen', 'Rajiv')"
Praveen,USA,1,"('Praveen', 'USA')"
Rajiv,USA,1,"('Rajiv', 'USA')"
Manuel,Raul,1,"('Manuel', 'Raul')"
Raul,USA,1,"('Raul', 'USA')"
Canada,Raul,1,"('Canada', 'Raul')"
Manuel,USA,1,"('Manuel', 'USA')"
Canada,Manuel,1,"('Canada', 'Manuel')"
Matthias,Netherlands,2,"('Matthias', 'Netherlands')"
Austria,Matthias,4,"('Austria', 'Matthias')"
Matthias,Matthias,1,"('Matthias', 'Matthias')"
Franciska,Guido,1,"('Franciska', 'Guido')"
Guido,Switzerland,1,"('Guido', 'Switzerland')"
Franciska,Switzerland,1,"('Franciska', 'Switzerland')"
Herbert,UK,1,"('Herbert', 'UK')"
Austria,Herbert,1,"('Austria', 'Herbert')"
Barbara,USA,3,"('Barbara', 'USA')"
Eleni,Mireia,1,"('Eleni', 'Mireia')"
Eleni,Spain,1,"('Eleni', 'Spain')"
Mireia,Spain,1,"('Mireia', 'Spain')"
Jennifer,Tania,1,"('Jennifer', 'Tania')"
Australia,Tania,1,"('Australia', 'Tania')"
Australia,Jennifer,2,"('Australia', 'Jennifer')"
Lutz,UK,1,"('Lutz', 'UK')"
Pinar Celikkol,USA,2,"('Pinar Celikkol', 'USA')"
Elizabeth Prior,Margaret,2,"('Elizabeth Prior', 'Margaret')"
Australia,Elizabeth Prior,3,"('Australia', 'Elizabeth Prior')"
Australia,Margaret,2,"('Australia', 'Margaret')"
Kristen Bell,USA,6,"('Kristen Bell', 'USA')"
Belgium,Daniel,1,"('Belgium', 'Daniel')"
Belgium,Kenneth,1,"('Belgium', 'Kenneth')"
Shuili,USA,1,"('Shuili', 'USA')"
Australia,Gavin,2,"('Australia', 'Gavin')"
Belgium,Switzerland,3,"('Belgium', 'Switzerland')"
Hans,Marloes,1,"('Hans', 'Marloes')"
Hans,Netherlands,1,"('Hans', 'Netherlands')"
Marloes,Netherlands,1,"('Marloes', 'Netherlands')"
Nadia,Steve,1,"('Nadia', 'Steve')"
Canada,Nadia,3,"('Canada', 'Nadia')"
Canada,Steve,1,"('Canada', 'Steve')"
Bogdan,Kostas,1,"('Bogdan', 'Kostas')"
Bogdan,UK,1,"('Bogdan', 'UK')"
Kostas,UK,2,"('Kostas', 'UK')"
Mirella,UK,1,"('Mirella', 'UK')"
Mirella,Pakistan,1,"('Mirella', 'Pakistan')"
Pakistan,UK,12,"('Pakistan', 'UK')"
USA,Will,2,"('USA', 'Will')"
D. Jordan,USA,4,"('D. Jordan', 'USA')"
A. Wren,USA,1,"('A. Wren', 'USA')"
A. Wren,Canada,1,"('A. Wren', 'Canada')"
Oriol,USA,1,"('Oriol', 'USA')"
Oriol,Spain,4,"('Oriol', 'Spain')"
France,South Africa,7,"('France', 'South Africa')"
Abdul Ghafar,Bayu Taufiq,1,"('Abdul Ghafar', 'Bayu Taufiq')"
Bayu Taufiq,Malaysia,1,"('Bayu Taufiq', 'Malaysia')"
Abdul Ghafar,Malaysia,1,"('Abdul Ghafar', 'Malaysia')"
Gary,UK,6,"('Gary', 'UK')"
Canada,Gary,3,"('Canada', 'Gary')"
K. Gregory,Ronald,1,"('K. Gregory', 'Ronald')"
Ronald,USA,1,"('Ronald', 'USA')"
Itai,Rachel,1,"('Itai', 'Rachel')"
Eran,Itai,1,"('Eran', 'Itai')"
Israel,Itai,1,"('Israel', 'Itai')"
Eran,Rachel,1,"('Eran', 'Rachel')"
Israel,Rachel,1,"('Israel', 'Rachel')"
Eran,Israel,1,"('Eran', 'Israel')"
France,Katherine,1,"('France', 'Katherine')"
Iris,Tine,1,"('Iris', 'Tine')"
Belgium,Iris,2,"('Belgium', 'Iris')"
France,Thierry,1,"('France', 'Thierry')"
George,USA,3,"('George', 'USA')"
Cyprus,USA,2,"('Cyprus', 'USA')"
Cyprus,UK,15,"('Cyprus', 'UK')"
USA,Uganda,2,"('USA', 'Uganda')"
Uganda,Uganda,1,"('Uganda', 'Uganda')"
Canada,Taieb,5,"('Canada', 'Taieb')"
Cameroon,France,1,"('Cameroon', 'France')"
Gavin,South Africa,1,"('Gavin', 'South Africa')"
BaoChun,Peoples R China,1,"('BaoChun', 'Peoples R China')"
Australia,Joanna,1,"('Australia', 'Joanna')"
Australia,Elizabeth,2,"('Australia', 'Elizabeth')"
Fabio,Mario,1,"('Fabio', 'Mario')"
Fabio,Italy,2,"('Fabio', 'Italy')"
Italy,Mario,2,"('Italy', 'Mario')"
New Zealand,Russia,1,"('New Zealand', 'Russia')"
Russia,UK,3,"('Russia', 'UK')"
Jia Fei,Peoples R China,1,"('Jia Fei', 'Peoples R China')"
Jia Fei,USA,1,"('Jia Fei', 'USA')"
Pakistan,Pakistan,15,"('Pakistan', 'Pakistan')"
Liang-Hung,Taiwan,2,"('Liang-Hung', 'Taiwan')"
Stefan,UK,2,"('Stefan', 'UK')"
Germany,Stefan,7,"('Germany', 'Stefan')"
Canada,Stefan,1,"('Canada', 'Stefan')"
Netherlands,Stefan,1,"('Netherlands', 'Stefan')"
E. Guenter,France,1,"('E. Guenter', 'France')"
E. Guenter,USA,1,"('E. Guenter', 'USA')"
Jose,Ramiro,2,"('Jose', 'Ramiro')"
Portugal,Ramiro,6,"('Portugal', 'Ramiro')"
Ramiro,Ramiro,1,"('Ramiro', 'Ramiro')"
Manuel Au-Yong,Ramiro,2,"('Manuel Au-Yong', 'Ramiro')"
Jose,Portugal,3,"('Jose', 'Portugal')"
Jose,Manuel Au-Yong,1,"('Jose', 'Manuel Au-Yong')"
Manuel Au-Yong,Portugal,3,"('Manuel Au-Yong', 'Portugal')"
Cindy,USA,2,"('Cindy', 'USA')"
Germany,Philipp,2,"('Germany', 'Philipp')"
Philipp,USA,1,"('Philipp', 'USA')"
Dongjing,USA,2,"('Dongjing', 'USA')"
Canada,Mary,2,"('Canada', 'Mary')"
Mary,Switzerland,1,"('Mary', 'Switzerland')"
Chun-Hsiung,Taiwan,1,"('Chun-Hsiung', 'Taiwan')"
Italy,Roberta,6,"('Italy', 'Roberta')"
Australia,Gladys,1,"('Australia', 'Gladys')"
Australia,Yuchao,2,"('Australia', 'Yuchao')"
Robert,Yuchao,1,"('Robert', 'Yuchao')"
Australia,Robert,3,"('Australia', 'Robert')"
Peoples R China,Yuan,8,"('Peoples R China', 'Yuan')"
Canada,Yuan,1,"('Canada', 'Yuan')"
USA,Yuan,1,"('USA', 'Yuan')"
Arifur,Australia,2,"('Arifur', 'Australia')"
Arifur,UK,1,"('Arifur', 'UK')"
Janie Harden,USA,4,"('Janie Harden', 'USA')"
Katriina,Mari,1,"('Katriina', 'Mari')"
Katriina,Taru,1,"('Katriina', 'Taru')"
Finland,Katriina,1,"('Finland', 'Katriina')"
Barjinder,USA,1,"('Barjinder', 'USA')"
Malaysia,Shanthy,1,"('Malaysia', 'Shanthy')"
Jiatao,Peoples R China,1,"('Jiatao', 'Peoples R China')"
Frederick,Peoples R China,1,"('Frederick', 'Peoples R China')"
Australia,Maria Cadiz,3,"('Australia', 'Maria Cadiz')"
Denmark,Greece,1,"('Denmark', 'Greece')"
Rebecca Toppe,USA,2,"('Rebecca Toppe', 'USA')"
Sanja,Tuomo,1,"('Sanja', 'Tuomo')"
Anna-Maija,Tuomo,1,"('Anna-Maija', 'Tuomo')"
Finland,Tuomo,1,"('Finland', 'Tuomo')"
Anna-Maija,Sanja,1,"('Anna-Maija', 'Sanja')"
Finland,Sanja,1,"('Finland', 'Sanja')"
Barbara,Catherine,1,"('Barbara', 'Catherine')"
Barbara,Canada,1,"('Barbara', 'Canada')"
Canada,Catherine,1,"('Canada', 'Catherine')"
Noel Yee-Man,Tracy Jun-Feng,1,"('Noel Yee-Man', 'Tracy Jun-Feng')"
Noel Yee-Man,Peoples R China,1,"('Noel Yee-Man', 'Peoples R China')"
Peoples R China,Tracy Jun-Feng,1,"('Peoples R China', 'Tracy Jun-Feng')"
Denmark,Friederike,1,"('Denmark', 'Friederike')"
Friederike,Netherlands,1,"('Friederike', 'Netherlands')"
Friederike,Spain,1,"('Friederike', 'Spain')"
Suzanne,USA,1,"('Suzanne', 'USA')"
Australia,Suzanne,1,"('Australia', 'Suzanne')"
Amelia,Spain,3,"('Amelia', 'Spain')"
Finland,UK,13,"('Finland', 'UK')"
France,Wei,4,"('France', 'Wei')"
USA,Wei,2,"('USA', 'Wei')"
Peoples R China,Philippines,2,"('Peoples R China', 'Philippines')"
Anna-Maija,USA,1,"('Anna-Maija', 'USA')"
Teppo,USA,1,"('Teppo', 'USA')"
Anna-Maija,Teppo,1,"('Anna-Maija', 'Teppo')"
Finland,Teppo,1,"('Finland', 'Teppo')"
Ali Iftikhar,Syed Azeem,1,"('Ali Iftikhar', 'Syed Azeem')"
Ali Iftikhar,Pakistan,1,"('Ali Iftikhar', 'Pakistan')"
Pakistan,Syed Azeem,1,"('Pakistan', 'Syed Azeem')"
France,Patricia,3,"('France', 'Patricia')"
Canada,Patricia,1,"('Canada', 'Patricia')"
Gro Ellen,Torvald,1,"('Gro Ellen', 'Torvald')"
Norway,Torvald,1,"('Norway', 'Torvald')"
Marcus,Norway,2,"('Marcus', 'Norway')"
Adang,Amanda,1,"('Adang', 'Amanda')"
Adang,Australia,1,"('Adang', 'Australia')"
Aysegul,Zeynep,1,"('Aysegul', 'Zeynep')"
Aysegul,Turkey,1,"('Aysegul', 'Turkey')"
Turkey,Zeynep,1,"('Turkey', 'Zeynep')"
Dorothee,Switzerland,2,"('Dorothee', 'Switzerland')"
Marco,Netherlands,1,"('Marco', 'Netherlands')"
Olga,USA,3,"('Olga', 'USA')"
France,Olga,2,"('France', 'Olga')"
Dong-Hong,Peoples R China,1,"('Dong-Hong', 'Peoples R China')"
Derek,USA,1,"('Derek', 'USA')"
Hyun Soon,South Korea,2,"('Hyun Soon', 'South Korea')"
Belgium,Germany,9,"('Belgium', 'Germany')"
Belgium,Denmark,7,"('Belgium', 'Denmark')"
Eliane,France,2,"('Eliane', 'France')"
Denise,UK,2,"('Denise', 'UK')"
Germany,Xin-an,1,"('Germany', 'Xin-an')"
Peoples R China,Xin-an,1,"('Peoples R China', 'Xin-an')"
Bjoern,France,1,"('Bjoern', 'France')"
Belgium,Sweden,3,"('Belgium', 'Sweden')"
Mingzhu,UK,1,"('Mingzhu', 'UK')"
Kuwait,Saudi Arabia,1,"('Kuwait', 'Saudi Arabia')"
Trinidad Tobago,USA,1,"('Trinidad Tobago', 'USA')"
Lebanon,Trinidad Tobago,1,"('Lebanon', 'Trinidad Tobago')"
Alasdair,UK,2,"('Alasdair', 'UK')"
Netherlands,Raphie,1,"('Netherlands', 'Raphie')"
Raphie,USA,1,"('Raphie', 'USA')"
Julia,Mary,1,"('Julia', 'Mary')"
Mary,USA,1,"('Mary', 'USA')"
Julia,USA,1,"('Julia', 'USA')"
Antoinette,Netherlands,1,"('Antoinette', 'Netherlands')"
Lammertjan,Netherlands,1,"('Lammertjan', 'Netherlands')"
Omid,USA,3,"('Omid', 'USA')"
Spain,Toru,1,"('Spain', 'Toru')"
Singapore,Toru,1,"('Singapore', 'Toru')"
Canada,Toru,1,"('Canada', 'Toru')"
Australia,Sarah,3,"('Australia', 'Sarah')"
Hermann,USA,1,"('Hermann', 'USA')"
Australia,Hermann,1,"('Australia', 'Hermann')"
Jasmin,Kerstin,1,"('Jasmin', 'Kerstin')"
Germany,Jasmin,1,"('Germany', 'Jasmin')"
Germany,Kerstin,2,"('Germany', 'Kerstin')"
Edina,France,1,"('Edina', 'France')"
Edina,USA,1,"('Edina', 'USA')"
Mette,Spain,1,"('Mette', 'Spain')"
Denmark,Mette,2,"('Denmark', 'Mette')"
Mette,Netherlands,1,"('Mette', 'Netherlands')"
Hsin-Hsuan Meg,Willemijn,1,"('Hsin-Hsuan Meg', 'Willemijn')"
Hsin-Hsuan Meg,Netherlands,1,"('Hsin-Hsuan Meg', 'Netherlands')"
Germany,Mark Lee,1,"('Germany', 'Mark Lee')"
France,Mark Lee,1,"('France', 'Mark Lee')"
Glen,Jeremy,1,"('Glen', 'Jeremy')"
Jeremy,UK,2,"('Jeremy', 'UK')"
Australia,David,6,"('Australia', 'David')"
Peru,USA,3,"('Peru', 'USA')"
Jeroen,Stijn,2,"('Jeroen', 'Stijn')"
Belgium,Stijn,2,"('Belgium', 'Stijn')"
Stijn,USA,2,"('Stijn', 'USA')"
Jeroen,USA,3,"('Jeroen', 'USA')"
France,Mehdi,4,"('France', 'Mehdi')"
Australia,Shane,2,"('Australia', 'Shane')"
Australia,Suman,1,"('Australia', 'Suman')"
Peoples R China,Xiaoyu,2,"('Peoples R China', 'Xiaoyu')"
Cameroon,Morocco,1,"('Cameroon', 'Morocco')"
Denmark,Esben Rahbek Gjerdrum,2,"('Denmark', 'Esben Rahbek Gjerdrum')"
Carrie,J. Barton,1,"('Carrie', 'J. Barton')"
Canada,Carrie,1,"('Canada', 'Carrie')"
Canada,J. Barton,1,"('Canada', 'J. Barton')"
Douglas,USA,2,"('Douglas', 'USA')"
