Country_1,Country_2,Cooperation_Count,Country_Pair
Netherlands,U Arab Emirates,1,"('Netherlands', 'U Arab Emirates')"
Australia,U Arab Emirates,6,"('Australia', 'U Arab Emirates')"
Germany,Japan,1,"('Germany', 'Japan')"
U Arab Emirates,USA,14,"('U Arab Emirates', 'USA')"
Austria,Austria,16,"('Austria', 'Austria')"
Denmark,Israel,2,"('Denmark', 'Israel')"
France,UK,98,"('France', 'UK')"
Argentina,Spain,2,"('Argentina', 'Spain')"
Brazil,Spain,8,"('Brazil', 'Spain')"
Argentina,Brazil,1,"('Argentina', 'Brazil')"
Ireland,Netherlands,3,"('Ireland', 'Netherlands')"
France,Switzerland,23,"('France', 'Switzerland')"
Canada,Germany,26,"('Canada', 'Germany')"
Germany,Norway,6,"('Germany', 'Norway')"
Estonia,UK,2,"('Estonia', 'UK')"
New Zealand,UK,15,"('New Zealand', 'UK')"
Sweden,Sweden,22,"('Sweden', 'Sweden')"
Peoples R China,UK,95,"('Peoples R China', 'UK')"
Australia,Germany,34,"('Australia', 'Germany')"
Austria,USA,37,"('Austria', 'USA')"
Australia,Sweden,8,"('Australia', 'Sweden')"
South Africa,Sweden,3,"('South Africa', 'Sweden')"
Nigeria,UK,19,"('Nigeria', 'UK')"
Switzerland,UK,16,"('Switzerland', 'UK')"
U Arab Emirates,UK,15,"('U Arab Emirates', 'UK')"
South Korea,UK,20,"('South Korea', 'UK')"
South Korea,U Arab Emirates,2,"('South Korea', 'U Arab Emirates')"
Austria,Turkey,4,"('Austria', 'Turkey')"
Mexico,USA,60,"('Mexico', 'USA')"
Canada,Mexico,24,"('Canada', 'Mexico')"
France,USA,138,"('France', 'USA')"
France,Taiwan,9,"('France', 'Taiwan')"
France,Norway,3,"('France', 'Norway')"
Norway,Turkey,1,"('Norway', 'Turkey')"
Australia,Italy,11,"('Australia', 'Italy')"
Israel,UK,6,"('Israel', 'UK')"
Australia,Norway,6,"('Australia', 'Norway')"
Canada,Julian,5,"('Canada', 'Julian')"
M. Tom,USA,4,"('M. Tom', 'USA')"
Donald,USA,4,"('Donald', 'USA')"
Donald,M. Tom,1,"('Donald', 'M. Tom')"
George,Maureen,1,"('George', 'Maureen')"
George,Sharon,1,"('George', 'Sharon')"
Fritz,George,1,"('Fritz', 'George')"
Canada,George,3,"('Canada', 'George')"
Maureen,Sharon,1,"('Maureen', 'Sharon')"
Fritz,Maureen,1,"('Fritz', 'Maureen')"
Canada,Maureen,1,"('Canada', 'Maureen')"
Fritz,Sharon,1,"('Fritz', 'Sharon')"
Canada,Sharon,1,"('Canada', 'Sharon')"
Canada,Fritz,1,"('Canada', 'Fritz')"
Joshua,USA,1,"('Joshua', 'USA')"
David,USA,8,"('David', 'USA')"
David,Spain,5,"('David', 'Spain')"
Ireland,UK,38,"('Ireland', 'UK')"
Kit-Chun Joanna,Peoples R China,2,"('Kit-Chun Joanna', 'Peoples R China')"
Japan,South Korea,2,"('Japan', 'South Korea')"
Taiwan,Yin-Hua,2,"('Taiwan', 'Yin-Hua')"
Taiwan,Yu-Shu,2,"('Taiwan', 'Yu-Shu')"
Beverly,USA,1,"('Beverly', 'USA')"
Charles,USA,4,"('Charles', 'USA')"
George,Greece,1,"('George', 'Greece')"
Jon,South Africa,1,"('Jon', 'South Africa')"
Nathalie,South Africa,1,"('Nathalie', 'South Africa')"
Jon,Nathalie,1,"('Jon', 'Nathalie')"
Jon,UK,1,"('Jon', 'UK')"
Nathalie,UK,1,"('Nathalie', 'UK')"
Christopher,USA,5,"('Christopher', 'USA')"
Canada,Loren,1,"('Canada', 'Loren')"
Canada,G. Elijah,4,"('Canada', 'G. Elijah')"
G. Elijah,G. Elijah,1,"('G. Elijah', 'G. Elijah')"
Alex,Canada,1,"('Alex', 'Canada')"
Irene,Manuel,1,"('Irene', 'Manuel')"
Irene,Spain,2,"('Irene', 'Spain')"
Manuel,Spain,3,"('Manuel', 'Spain')"
Taiwan,Yei-Yi,1,"('Taiwan', 'Yei-Yi')"
Gerwin,Netherlands,1,"('Gerwin', 'Netherlands')"
Belgium,Gerwin,1,"('Belgium', 'Gerwin')"
Ian,Monder,1,"('Ian', 'Monder')"
Harvinder,Ian,1,"('Harvinder', 'Ian')"
Ian,UK,2,"('Ian', 'UK')"
Harvinder,Monder,1,"('Harvinder', 'Monder')"
Monder,UK,1,"('Monder', 'UK')"
Harvinder,UK,1,"('Harvinder', 'UK')"
Germany,Switzerland,33,"('Germany', 'Switzerland')"
Germany,Netherlands,39,"('Germany', 'Netherlands')"
Germany,Jordan,1,"('Germany', 'Jordan')"
Germany,Peoples R China,22,"('Germany', 'Peoples R China')"
Netherlands,Switzerland,10,"('Netherlands', 'Switzerland')"
Jordan,Switzerland,1,"('Jordan', 'Switzerland')"
Switzerland,USA,44,"('Switzerland', 'USA')"
Peoples R China,Switzerland,7,"('Peoples R China', 'Switzerland')"
Canada,Switzerland,19,"('Canada', 'Switzerland')"
Jordan,Netherlands,2,"('Jordan', 'Netherlands')"
Netherlands,Peoples R China,38,"('Netherlands', 'Peoples R China')"
Jordan,UK,4,"('Jordan', 'UK')"
Jordan,USA,2,"('Jordan', 'USA')"
Jordan,Peoples R China,1,"('Jordan', 'Peoples R China')"
Canada,Jordan,1,"('Canada', 'Jordan')"
Canada,Peoples R China,106,"('Canada', 'Peoples R China')"
Sandra,Stewart,1,"('Sandra', 'Stewart')"
Geoff,Stewart,1,"('Geoff', 'Stewart')"
Australia,Stewart,2,"('Australia', 'Stewart')"
Geoff,Sandra,1,"('Geoff', 'Sandra')"
Australia,Sandra,1,"('Australia', 'Sandra')"
Australia,Geoff,1,"('Australia', 'Geoff')"
Dennis,USA,2,"('Dennis', 'USA')"
Robert,USA,18,"('Robert', 'USA')"
Dennis,Robert,1,"('Dennis', 'Robert')"
Rong-An,Taiwan,2,"('Rong-An', 'Taiwan')"
John,USA,6,"('John', 'USA')"
Marshall,USA,5,"('Marshall', 'USA')"
Australia,Carmel,1,"('Australia', 'Carmel')"
K. Praveen,USA,3,"('K. Praveen', 'USA')"
Finland,Jari,1,"('Finland', 'Jari')"
Ming-Tien,Taiwan,1,"('Ming-Tien', 'Taiwan')"
Maria del Mar Garcia,UK,2,"('Maria del Mar Garcia', 'UK')"
Maria del Mar Garcia,Spain,4,"('Maria del Mar Garcia', 'Spain')"
Maria del Mar Garcia,Maria del Mar Garcia,1,"('Maria del Mar Garcia', 'Maria del Mar Garcia')"
Haitao,Zhilong,1,"('Haitao', 'Zhilong')"
Peoples R China,Zhilong,2,"('Peoples R China', 'Zhilong')"
Haitao,Peoples R China,1,"('Haitao', 'Peoples R China')"
Bruce,John,2,"('Bruce', 'John')"
Bruce,USA,2,"('Bruce', 'USA')"
Denmark,Denmark,19,"('Denmark', 'Denmark')"
Canada,Cyril,1,"('Canada', 'Cyril')"
Canada,Claude,5,"('Canada', 'Claude')"
South Korea,South Korea,58,"('South Korea', 'South Korea')"
Gita,USA,1,"('Gita', 'USA')"
Angeles,Spain,1,"('Angeles', 'Spain')"
R. Edward,USA,6,"('R. Edward', 'USA')"
Nelarine,UK,5,"('Nelarine', 'UK')"
Estonia,Estonia,1,"('Estonia', 'Estonia')"
France,France,242,"('France', 'France')"
Anna-Maija,Meri,1,"('Anna-Maija', 'Meri')"
Anna-Maija,Tuomas,1,"('Anna-Maija', 'Tuomas')"
Anna-Maija,Finland,4,"('Anna-Maija', 'Finland')"
Meri,Tuomas,1,"('Meri', 'Tuomas')"
Finland,Meri,3,"('Finland', 'Meri')"
Finland,Tuomas,1,"('Finland', 'Tuomas')"
Belgium,UK,38,"('Belgium', 'UK')"
Erik,Eva,1,"('Erik', 'Eva')"
Austria,Eva,1,"('Austria', 'Eva')"
Austria,Erik,1,"('Austria', 'Erik')"
Canada,Lin,1,"('Canada', 'Lin')"
Maria,Paul,1,"('Maria', 'Paul')"
Maria,UK,1,"('Maria', 'UK')"
Paul,UK,1,"('Paul', 'UK')"
India,Kanika Tandon,1,"('India', 'Kanika Tandon')"
Cyprus,Cyprus,3,"('Cyprus', 'Cyprus')"
Silke,UK,1,"('Silke', 'UK')"
Malaysia,Silke,1,"('Malaysia', 'Silke')"
Belgium,Italy,14,"('Belgium', 'Italy')"
Simone,USA,3,"('Simone', 'USA')"
USA,William,1,"('USA', 'William')"
Wanxian,Xinmei,1,"('Wanxian', 'Xinmei')"
Peoples R China,Wanxian,1,"('Peoples R China', 'Wanxian')"
Peoples R China,Xinmei,4,"('Peoples R China', 'Xinmei')"
Anusorn,Mahesh,1,"('Anusorn', 'Mahesh')"
Anusorn,USA,2,"('Anusorn', 'USA')"
Mahesh,USA,2,"('Mahesh', 'USA')"
Canada,Sally,3,"('Canada', 'Sally')"
Sven,Sweden,3,"('Sven', 'Sweden')"
Canada,Spain,29,"('Canada', 'Spain')"
Finland,Lithuania,5,"('Finland', 'Lithuania')"
Brazil,Lilian Soares,2,"('Brazil', 'Lilian Soares')"
Lilian Soares,UK,1,"('Lilian Soares', 'UK')"
Brazil,UK,17,"('Brazil', 'UK')"
Ladislao Luna,Spain,1,"('Ladislao Luna', 'Spain')"
Netherlands,Wim,4,"('Netherlands', 'Wim')"
Belgium,Wim,3,"('Belgium', 'Wim')"
Germany,Tanja,2,"('Germany', 'Tanja')"
Sebnem,Turkey,7,"('Sebnem', 'Turkey')"
Egypt,USA,34,"('Egypt', 'USA')"
Sean,USA,3,"('Sean', 'USA')"
Eun-Kyoung,South Korea,2,"('Eun-Kyoung', 'South Korea')"
Nick,Ron,1,"('Nick', 'Ron')"
Australia,Ron,1,"('Australia', 'Ron')"
Australia,Nick,2,"('Australia', 'Nick')"
Enrique,Maria Dolores,1,"('Enrique', 'Maria Dolores')"
Maria Dolores,Spain,1,"('Maria Dolores', 'Spain')"
Enrique,Spain,3,"('Enrique', 'Spain')"
Jeff,Marjut,1,"('Jeff', 'Marjut')"
Jeff,Rebecca,1,"('Jeff', 'Rebecca')"
Finland,Jeff,1,"('Finland', 'Jeff')"
Marjut,Rebecca,1,"('Marjut', 'Rebecca')"
Finland,Marjut,1,"('Finland', 'Marjut')"
Finland,Rebecca,1,"('Finland', 'Rebecca')"
Kevin,UK,3,"('Kevin', 'UK')"
Canada,Kevin,2,"('Canada', 'Kevin')"
Emmanuella,Kalliopi,1,"('Emmanuella', 'Kalliopi')"
Emmanuella,Greece,2,"('Emmanuella', 'Greece')"
Greece,Kalliopi,2,"('Greece', 'Kalliopi')"
Greece,Greece,6,"('Greece', 'Greece')"
Australia,Finland,8,"('Australia', 'Finland')"
Indonesia,USA,7,"('Indonesia', 'USA')"
Poland,USA,10,"('Poland', 'USA')"
Indonesia,Taiwan,2,"('Indonesia', 'Taiwan')"
Poland,Taiwan,1,"('Poland', 'Taiwan')"
Egypt,Taiwan,6,"('Egypt', 'Taiwan')"
Indonesia,Poland,1,"('Indonesia', 'Poland')"
Egypt,Indonesia,2,"('Egypt', 'Indonesia')"
Egypt,Poland,2,"('Egypt', 'Poland')"
Egypt,Egypt,7,"('Egypt', 'Egypt')"
Avshalom Madhala,Israel,1,"('Avshalom Madhala', 'Israel')"
Malaysia,Malaysia,11,"('Malaysia', 'Malaysia')"
M. Kemal,South Korea,1,"('M. Kemal', 'South Korea')"
South Korea,Turkey,8,"('South Korea', 'Turkey')"
M. Kemal,UK,1,"('M. Kemal', 'UK')"
Turkey,UK,4,"('Turkey', 'UK')"
M. Kemal,Turkey,1,"('M. Kemal', 'Turkey')"
Nan Young,UK,1,"('Nan Young', 'UK')"
Guel Selin,Turkey,1,"('Guel Selin', 'Turkey')"
Helen,USA,2,"('Helen', 'USA')"
Canada,Sandra,3,"('Canada', 'Sandra')"
Pablo,Spain,14,"('Pablo', 'Spain')"
Estonia,Ruth,1,"('Estonia', 'Ruth')"
Australia,Prue,1,"('Australia', 'Prue')"
Carolyn Strand,USA,2,"('Carolyn Strand', 'USA')"
Allan,UK,1,"('Allan', 'UK')"
Thailand,UK,3,"('Thailand', 'UK')"
Allan,Netherlands,1,"('Allan', 'Netherlands')"
Allan,Australia,1,"('Allan', 'Australia')"
Allan,Thailand,1,"('Allan', 'Thailand')"
Netherlands,Thailand,1,"('Netherlands', 'Thailand')"
Australia,Thailand,5,"('Australia', 'Thailand')"
Sergio,Spain,1,"('Sergio', 'Spain')"
Israel,Sarit,2,"('Israel', 'Sarit')"
Linda,UK,1,"('Linda', 'UK')"
Italy,Netherlands,13,"('Italy', 'Netherlands')"
Amit,USA,1,"('Amit', 'USA')"
Italy,Ugo,1,"('Italy', 'Ugo')"
Australia,Rosaria,2,"('Australia', 'Rosaria')"
Rosaria,UK,1,"('Rosaria', 'UK')"
Clodia,Italy,3,"('Clodia', 'Italy')"
Adele,USA,1,"('Adele', 'USA')"
Adele,Spain,1,"('Adele', 'Spain')"
Adele,Portugal,1,"('Adele', 'Portugal')"
Portugal,USA,70,"('Portugal', 'USA')"
Portugal,Spain,21,"('Portugal', 'Spain')"
France,Nicola,2,"('France', 'Nicola')"
Nicola,Nicola,1,"('Nicola', 'Nicola')"
Nicola,Switzerland,2,"('Nicola', 'Switzerland')"
Japan,UK,2,"('Japan', 'UK')"
Mukesh,USA,2,"('Mukesh', 'USA')"
Joele,Netherlands,1,"('Joele', 'Netherlands')"
Alan,Australia,1,"('Alan', 'Australia')"
Belgium,USA,36,"('Belgium', 'USA')"
Alan,Netherlands,1,"('Alan', 'Netherlands')"
Alan,USA,2,"('Alan', 'USA')"
Canada,Simon,2,"('Canada', 'Simon')"
Netherlands,Rob,3,"('Netherlands', 'Rob')"
USA,Wendy,1,"('USA', 'Wendy')"
UK,Wendy,2,"('UK', 'Wendy')"
Adam,UK,1,"('Adam', 'UK')"
Adam,France,1,"('Adam', 'France')"
Adam,Netherlands,1,"('Adam', 'Netherlands')"
France,Netherlands,23,"('France', 'Netherlands')"
Dasaratha,Silvia,1,"('Dasaratha', 'Silvia')"
Dasaratha,USA,2,"('Dasaratha', 'USA')"
Silvia,USA,4,"('Silvia', 'USA')"
Francesco,Italy,4,"('Francesco', 'Italy')"
Italy,Ulpiana,2,"('Italy', 'Ulpiana')"
Jessica,USA,1,"('Jessica', 'USA')"
Australia,Jessica,1,"('Australia', 'Jessica')"
Longinos,Salvador,1,"('Longinos', 'Salvador')"
Longinos,Spain,2,"('Longinos', 'Spain')"
Salvador,Spain,2,"('Salvador', 'Spain')"
Anneli,South Africa,2,"('Anneli', 'South Africa')"
Austria,Hungary,1,"('Austria', 'Hungary')"
Lebanon,UK,11,"('Lebanon', 'UK')"
Meral,Turkey,1,"('Meral', 'Turkey')"
Jeanette,USA,1,"('Jeanette', 'USA')"
Alina,Jeanette,1,"('Alina', 'Jeanette')"
Australia,Jeanette,2,"('Australia', 'Jeanette')"
Alina,USA,1,"('Alina', 'USA')"
Alina,Australia,1,"('Alina', 'Australia')"
Brazil,Maria Virginia,2,"('Brazil', 'Maria Virginia')"
Maria Virginia,Switzerland,1,"('Maria Virginia', 'Switzerland')"
Brazil,Switzerland,5,"('Brazil', 'Switzerland')"
Canada,Frederick,2,"('Canada', 'Frederick')"
Canada,Fiona,1,"('Canada', 'Fiona')"
Kenya,Netherlands,1,"('Kenya', 'Netherlands')"
Jennifer,Michelle,1,"('Jennifer', 'Michelle')"
Jennifer,USA,5,"('Jennifer', 'USA')"
Michelle,USA,4,"('Michelle', 'USA')"
Ginger,USA,2,"('Ginger', 'USA')"
Burkard,Canada,1,"('Burkard', 'Canada')"
Canada,Justin,2,"('Canada', 'Justin')"
USA,Walton,1,"('USA', 'Walton')"
Germany,Nicki,1,"('Germany', 'Nicki')"
Lebanon,Yusuf,2,"('Lebanon', 'Yusuf')"
Lebanon,Lebanon,4,"('Lebanon', 'Lebanon')"
UK,Yusuf,1,"('UK', 'Yusuf')"
Finland,Katri,1,"('Finland', 'Katri')"
Katri,Netherlands,1,"('Katri', 'Netherlands')"
Nicole,USA,1,"('Nicole', 'USA')"
Hungary,Italy,4,"('Hungary', 'Italy')"
Peoples R China,Xiangyang,2,"('Peoples R China', 'Xiangyang')"
Peoples R China,Randy,2,"('Peoples R China', 'Randy')"
Australia,New Zealand,34,"('Australia', 'New Zealand')"
New Zealand,Peoples R China,20,"('New Zealand', 'Peoples R China')"
George,JianAn,1,"('George', 'JianAn')"
George,Peoples R China,2,"('George', 'Peoples R China')"
Canada,JianAn,1,"('Canada', 'JianAn')"
JianAn,Peoples R China,1,"('JianAn', 'Peoples R China')"
Peoples R China,Wei-Ping,3,"('Peoples R China', 'Wei-Ping')"
France,Peoples R China,34,"('France', 'Peoples R China')"
Italy,UK,39,"('Italy', 'UK')"
Taiwan,Wenchang,2,"('Taiwan', 'Wenchang')"
