State,VA,CA,ME,WI,MA,OR,PA,IL,AZ,TX,CO,AK,OH,IN,KY,NY,NH,MD,MI,WA,RI,GA,DE,MN,CT,MO,HI,AL,SC,LA,NM,NJ,NC,UT,TN,OK,MS,NV,ND,ID,FL,NE,AR,IA,KS,WY,SD,WV,MT,VT
LA,25,25,3,8,7,7,31,13,9,40,1,4,14,24,7,31,6,3,10,14,1,22,1,4,4,1,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,4,3,0,1,0,0,1,1,2,9,0,0,1,1,2,1,0,1,2,3,0,7,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,7,9,0,1,2,0,4,6,1,11,0,0,6,2,1,2,0,1,0,3,0,5,1,3,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,13,13,1,3,13,8,8,8,7,20,0,1,10,18,5,14,2,1,13,12,2,15,6,4,4,3,0,2,3,27,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,6,4,0,1,2,4,3,4,3,6,2,0,5,2,2,8,0,0,2,4,1,5,0,4,0,1,0,2,4,9,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,14,19,1,1,6,5,19,15,0,6,0,0,4,6,5,13,0,0,6,13,2,7,0,11,2,3,0,6,2,11,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,5,4,0,0,1,0,2,2,1,7,0,0,1,0,0,5,0,0,2,1,1,3,1,4,0,1,0,2,4,6,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,9,9,0,1,5,3,3,3,1,17,0,2,3,21,4,11,2,0,9,11,0,11,0,9,5,0,0,0,16,31,0,1,4,4,6,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,4,1,0,1,0,0,2,9,0,10,0,0,0,0,2,6,0,0,4,0,0,1,0,0,0,2,0,2,1,9,0,0,7,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ND,1,2,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,16,17,0,5,7,10,15,8,7,18,3,1,7,13,6,15,0,1,11,15,0,5,4,12,5,5,0,3,1,10,3,7,4,5,7,0,8,5,2,0,6,0,0,0,0,0,0,0,0,0
NE,1,2,0,1,0,0,7,2,0,0,0,0,4,2,0,2,0,0,0,3,0,1,0,0,2,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1,2,0,0,2,3,4,0,0,7,0,0,3,0,0,3,0,0,4,4,1,5,0,2,0,0,0,0,1,5,1,1,1,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0
IA,6,5,0,2,7,3,7,1,4,11,1,0,1,6,1,10,0,0,4,1,2,7,0,1,2,2,0,2,5,20,1,1,4,1,2,1,10,0,2,0,8,0,2,3,0,0,0,0,0,0
KS,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,5,14,0,1,0,10,8,2,0,4,0,4,1,1,1,4,0,0,3,6,1,1,0,3,1,0,0,0,0,10,5,4,6,1,4,2,5,0,0,0,15,0,1,1,0,18,0,0,0,0
SD,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
