Country_1,Country_2,Cooperation_Count,Country_Pair,Total_Articles_Country_1,Total_Articles_Country_2,Int_ij
Ester,Italy,1,"('Ester', 'Italy')",1,219,0.00456621
Chiara,Italy,1,"('Chiara', 'Italy')",1,219,0.00456621
Ilaria,Italy,2,"('Ilaria', 'Italy')",1,219,0.01826484
Denmark,Thomas Boysen,1,"('Denmark', 'Thomas Boysen')",127,1,0.007874016
Klemens,Thomas Boysen,1,"('Klemens', 'Thomas Boysen')",1,1,1
Denmark,Klemens,1,"('Denmark', 'Klemens')",127,1,0.007874016
Denmark,Spain,12,"('Denmark', 'Spain')",127,535,0.002119361
Australia,Spain,13,"('Australia', 'Spain')",853,535,0.000370326
Peoples R China,Spain,18,"('Peoples R China', 'Spain')",994,535,0.000609263
Israel,Spain,3,"('Israel', 'Spain')",57,535,0.00029513
Canada,Spain,29,"('Canada', 'Spain')",1030,535,0.001526177
Poland,Spain,1,"('Poland', 'Spain')",13,535,0.000143781
South Africa,Spain,2,"('South Africa', 'Spain')",84,535,8.90E-05
Norway,Spain,3,"('Norway', 'Spain')",107,535,0.000157219
Brazil,Spain,8,"('Brazil', 'Spain')",71,535,0.001684876
Oman,Spain,2,"('Oman', 'Spain')",5,535,0.001495327
Belgium,Spain,11,"('Belgium', 'Spain')",208,535,0.001087347
Spain,Spain,159,"('Spain', 'Spain')",535,535,0.088325618
Ireland,Spain,7,"('Ireland', 'Spain')",73,535,0.001254641
Netherlands,Spain,12,"('Netherlands', 'Spain')",475,535,0.00056665
Russia,Spain,4,"('Russia', 'Spain')",20,535,0.001495327
Mexico,Spain,17,"('Mexico', 'Spain')",46,535,0.011743194
Philippines,Spain,1,"('Philippines', 'Spain')",3,535,0.000623053
Germany,Spain,15,"('Germany', 'Spain')",428,535,0.000982619
Finland,Spain,11,"('Finland', 'Spain')",163,535,0.001387535
India,Spain,1,"('India', 'Spain')",122,535,1.53E-05
Portugal,Spain,21,"('Portugal', 'Spain')",114,535,0.007230694
Malaysia,Spain,4,"('Malaysia', 'Spain')",46,535,0.000650142
Singapore,Spain,8,"('Singapore', 'Spain')",85,535,0.001407367
Chile,Spain,1,"('Chile', 'Spain')",12,535,0.000155763
France,Spain,52,"('France', 'Spain')",593,535,0.008523112
Costa Rica,Spain,1,"('Costa Rica', 'Spain')",9,535,0.000207684
Italy,Spain,21,"('Italy', 'Spain')",219,535,0.003763923
Croatia,Spain,3,"('Croatia', 'Spain')",6,535,0.002803738
South Korea,Spain,6,"('South Korea', 'Spain')",165,535,0.000407816
Japan,Spain,4,"('Japan', 'Spain')",24,535,0.001246106
New Zealand,Spain,2,"('New Zealand', 'Spain')",146,535,5.12E-05
Austria,Spain,2,"('Austria', 'Spain')",58,535,0.000128908
Argentina,Spain,2,"('Argentina', 'Spain')",12,535,0.000623053
Estonia,Spain,2,"('Estonia', 'Spain')",13,535,0.000575126
Nigeria,Spain,3,"('Nigeria', 'Spain')",16,535,0.001051402
David,Spain,5,"('David', 'Spain')",29,535,0.001611344
Irene,Spain,2,"('Irene', 'Spain')",2,535,0.003738318
Manuel,Spain,3,"('Manuel', 'Spain')",3,535,0.005607477
Maria del Mar Garcia,Spain,4,"('Maria del Mar Garcia', 'Spain')",2,535,0.014953271
Angeles,Spain,1,"('Angeles', 'Spain')",1,535,0.001869159
Maria,Spain,6,"('Maria', 'Spain')",15,535,0.004485981
Paul,Spain,1,"('Paul', 'Spain')",6,535,0.000311526
Ladislao Luna,Spain,1,"('Ladislao Luna', 'Spain')",1,535,0.001869159
Egypt,Spain,3,"('Egypt', 'Spain')",21,535,0.000801068
Enrique,Spain,3,"('Enrique', 'Spain')",3,535,0.005607477
Maria Dolores,Spain,1,"('Maria Dolores', 'Spain')",1,535,0.001869159
Pablo,Spain,14,"('Pablo', 'Spain')",11,535,0.033305013
Sergio,Spain,1,"('Sergio', 'Spain')",1,535,0.001869159
Adele,Spain,1,"('Adele', 'Spain')",1,535,0.001869159
Silvia,Spain,1,"('Silvia', 'Spain')",2,535,0.000934579
Longinos,Spain,2,"('Longinos', 'Spain')",2,535,0.003738318
Salvador,Spain,2,"('Salvador', 'Spain')",2,535,0.003738318
Lebanon,Spain,1,"('Lebanon', 'Spain')",39,535,4.79E-05
Jennifer,Spain,3,"('Jennifer', 'Spain')",9,535,0.001869159
Hungary,Spain,2,"('Hungary', 'Spain')",9,535,0.000830737
Josep Maria,Spain,1,"('Josep Maria', 'Spain')",1,535,0.001869159
Marc,Spain,1,"('Marc', 'Spain')",2,535,0.000934579
Francesc,Spain,1,"('Francesc', 'Spain')",1,535,0.001869159
Jose,Spain,5,"('Jose', 'Spain')",7,535,0.006675567
Reyes,Spain,3,"('Reyes', 'Spain')",3,535,0.005607477
Andres,Spain,3,"('Andres', 'Spain')",2,535,0.008411215
North Macedonia,Spain,2,"('North Macedonia', 'Spain')",6,535,0.001246106
Pakistan,Spain,3,"('Pakistan', 'Spain')",47,535,0.000357924
Daniel,Spain,2,"('Daniel', 'Spain')",9,535,0.000830737
Isabel,Spain,2,"('Isabel', 'Spain')",2,535,0.003738318
Elena,Spain,1,"('Elena', 'Spain')",2,535,0.000934579
Eva,Spain,3,"('Eva', 'Spain')",5,535,0.003364486
Scott John,Spain,1,"('Scott John', 'Spain')",2,535,0.000934579
Claude,Spain,2,"('Claude', 'Spain')",4,535,0.001869159
Peru,Spain,2,"('Peru', 'Spain')",7,535,0.001068091
Jacob,Spain,1,"('Jacob', 'Spain')",2,535,0.000934579
Rafael,Spain,7,"('Rafael', 'Spain')",5,535,0.018317757
Luis,Spain,3,"('Luis', 'Spain')",2,535,0.008411215
Colombia,Spain,5,"('Colombia', 'Spain')",17,535,0.002748763
Jeroimo,Spain,1,"('Jeroimo', 'Spain')",1,535,0.001869159
Armenio,Spain,4,"('Armenio', 'Spain')",6,535,0.004984424
Juana,Spain,1,"('Juana', 'Spain')",1,535,0.001869159
Jose-Manuel,Spain,1,"('Jose-Manuel', 'Spain')",1,535,0.001869159
Felix,Spain,4,"('Felix', 'Spain')",5,535,0.005981308
Jose-Luis,Spain,2,"('Jose-Luis', 'Spain')",2,535,0.003738318
Roberto,Spain,2,"('Roberto', 'Spain')",3,535,0.002492212
Gregorio,Spain,1,"('Gregorio', 'Spain')",1,535,0.001869159
Miriam,Spain,1,"('Miriam', 'Spain')",1,535,0.001869159
Pedro,Spain,1,"('Pedro', 'Spain')",2,535,0.000934579
Leire,Spain,3,"('Leire', 'Spain')",1,535,0.01682243
Carmen,Spain,3,"('Carmen', 'Spain')",2,535,0.008411215
Francisco,Spain,3,"('Francisco', 'Spain')",3,535,0.005607477
Juan,Spain,7,"('Juan', 'Spain')",8,535,0.011448598
Slovenia,Spain,5,"('Slovenia', 'Spain')",31,535,0.001507386
Lithuania,Spain,2,"('Lithuania', 'Spain')",10,535,0.000747664
Paulina Man Kei,Spain,1,"('Paulina Man Kei', 'Spain')",1,535,0.001869159
Jenny,Spain,1,"('Jenny', 'Spain')",3,535,0.000623053
Javier,Spain,5,"('Javier', 'Spain')",5,535,0.009345794
Natalia,Spain,2,"('Natalia', 'Spain')",3,535,0.002492212
Andrea,Spain,6,"('Andrea', 'Spain')",11,535,0.006117247
Fernando,Spain,1,"('Fernando', 'Spain')",2,535,0.000934579
Ricardo,Spain,12,"('Ricardo', 'Spain')",6,535,0.044859813
Ruth,Spain,4,"('Ruth', 'Spain')",2,535,0.014953271
Barbara,Spain,2,"('Barbara', 'Spain')",6,535,0.001246106
Eleni,Spain,1,"('Eleni', 'Spain')",1,535,0.001869159
Mireia,Spain,1,"('Mireia', 'Spain')",1,535,0.001869159
Oriol,Spain,4,"('Oriol', 'Spain')",2,535,0.014953271
Philipp,Spain,6,"('Philipp', 'Spain')",4,535,0.01682243
Friederike,Spain,1,"('Friederike', 'Spain')",1,535,0.001869159
Amelia,Spain,3,"('Amelia', 'Spain')",1,535,0.01682243
Mette,Spain,1,"('Mette', 'Spain')",2,535,0.000934579
Alina S. Hernandez,Spain,5,"('Alina S. Hernandez', 'Spain')",4,535,0.011682243
Miguel,Spain,4,"('Miguel', 'Spain')",4,535,0.007476636
Patrick,Spain,1,"('Patrick', 'Spain')",4,535,0.00046729
Belen,Spain,1,"('Belen', 'Spain')",1,535,0.001869159
Fidel,Spain,1,"('Fidel', 'Spain')",1,535,0.001869159
Jordi,Spain,3,"('Jordi', 'Spain')",2,535,0.008411215
Jose Atilano,Spain,1,"('Jose Atilano', 'Spain')",1,535,0.001869159
Celia,Spain,1,"('Celia', 'Spain')",1,535,0.001869159
Jingqiu,Spain,2,"('Jingqiu', 'Spain')",4,535,0.001869159
Gustavo,Spain,1,"('Gustavo', 'Spain')",1,535,0.001869159
Oscar,Spain,1,"('Oscar', 'Spain')",1,535,0.001869159
Patricia,Spain,1,"('Patricia', 'Spain')",3,535,0.000623053
Romania,Spain,3,"('Romania', 'Spain')",8,535,0.002102804
Eduardo,Spain,1,"('Eduardo', 'Spain')",2,535,0.000934579
Roger,Spain,1,"('Roger', 'Spain')",1,535,0.001869159
M. Carmen,Spain,1,"('M. Carmen', 'Spain')",1,535,0.001869159
Manuel Carlos,Spain,1,"('Manuel Carlos', 'Spain')",1,535,0.001869159
Antonio,Spain,1,"('Antonio', 'Spain')",1,535,0.001869159
Amalia,Spain,2,"('Amalia', 'Spain')",1,535,0.007476636
Emilia,Spain,2,"('Emilia', 'Spain')",2,535,0.003738318
Isabel-Maria,Spain,2,"('Isabel-Maria', 'Spain')",1,535,0.007476636
Diego,Spain,2,"('Diego', 'Spain')",1,535,0.007476636
Chad,Spain,1,"('Chad', 'Spain')",1,535,0.001869159
Begona,Spain,2,"('Begona', 'Spain')",2,535,0.003738318
Lucas,Spain,6,"('Lucas', 'Spain')",3,535,0.022429907
Carlos,Spain,4,"('Carlos', 'Spain')",3,535,0.009968847
Jukka,Spain,1,"('Jukka', 'Spain')",1,535,0.001869159
Guillermina,Spain,2,"('Guillermina', 'Spain')",1,535,0.007476636
Dolors,Spain,1,"('Dolors', 'Spain')",1,535,0.001869159
Cristina,Spain,2,"('Cristina', 'Spain')",3,535,0.002492212
Lorea,Spain,1,"('Lorea', 'Spain')",2,535,0.000934579
Robert Allen,Spain,1,"('Robert Allen', 'Spain')",1,535,0.001869159
Joaquin,Spain,1,"('Joaquin', 'Spain')",1,535,0.001869159
Nataia,Spain,2,"('Nataia', 'Spain')",1,535,0.007476636
Alina Beattrice,Spain,1,"('Alina Beattrice', 'Spain')",1,535,0.001869159
Alejandro,Spain,1,"('Alejandro', 'Spain')",1,535,0.001869159
Laura,Spain,2,"('Laura', 'Spain')",6,535,0.001246106
Nuria,Spain,1,"('Nuria', 'Spain')",1,535,0.001869159
Pilar,Spain,1,"('Pilar', 'Spain')",1,535,0.001869159
Nieves,Spain,1,"('Nieves', 'Spain')",1,535,0.001869159
Brigitte,Spain,2,"('Brigitte', 'Spain')",3,535,0.002492212
Abdulgawi Salim,Spain,2,"('Abdulgawi Salim', 'Spain')",2,535,0.003738318
Malta,Spain,2,"('Malta', 'Spain')",2,535,0.003738318
Luigina,Spain,2,"('Luigina', 'Spain')",2,535,0.003738318
Jian,Spain,2,"('Jian', 'Spain')",4,535,0.001869159
Marko,Spain,2,"('Marko', 'Spain')",2,535,0.003738318
Ana,Spain,1,"('Ana', 'Spain')",1,535,0.001869159
Almudena,Spain,1,"('Almudena', 'Spain')",1,535,0.001869159
Nitika,Spain,1,"('Nitika', 'Spain')",1,535,0.001869159
Jorge,Spain,2,"('Jorge', 'Spain')",2,535,0.003738318
Mahmoud,Spain,1,"('Mahmoud', 'Spain')",1,535,0.001869159
Don,Spain,1,"('Don', 'Spain')",3,535,0.000623053
Olivier,Spain,2,"('Olivier', 'Spain')",5,535,0.001495327
Rahul,Spain,1,"('Rahul', 'Spain')",1,535,0.001869159
Emilio,Spain,1,"('Emilio', 'Spain')",1,535,0.001869159
Ignacio,Spain,1,"('Ignacio', 'Spain')",1,535,0.001869159
Marie-Christine,Spain,1,"('Marie-Christine', 'Spain')",1,535,0.001869159
Angel,Spain,1,"('Angel', 'Spain')",1,535,0.001869159
Maria del Mar,Spain,1,"('Maria del Mar', 'Spain')",1,535,0.001869159
Paula,Spain,1,"('Paula', 'Spain')",2,535,0.000934579
Armenia,Spain,1,"('Armenia', 'Spain')",1,535,0.001869159
Jose Luis,Spain,1,"('Jose Luis', 'Spain')",1,535,0.001869159
Shike,Spain,2,"('Shike', 'Spain')",1,535,0.007476636
Roscoe Conan,Spain,1,"('Roscoe Conan', 'Spain')",1,535,0.001869159
Denmark,Slovenia,7,"('Denmark', 'Slovenia')",127,31,0.012446025
Australia,Slovenia,8,"('Australia', 'Slovenia')",853,31,0.0024203
Peoples R China,Slovenia,14,"('Peoples R China', 'Slovenia')",994,31,0.006360745
Israel,Slovenia,2,"('Israel', 'Slovenia')",57,31,0.002263724
Canada,Slovenia,9,"('Canada', 'Slovenia')",1030,31,0.002536799
Brazil,Slovenia,6,"('Brazil', 'Slovenia')",71,31,0.016356202
Oman,Slovenia,2,"('Oman', 'Slovenia')",5,31,0.025806452
Belgium,Slovenia,2,"('Belgium', 'Slovenia')",208,31,0.000620347
Ireland,Slovenia,2,"('Ireland', 'Slovenia')",73,31,0.001767565
Netherlands,Slovenia,5,"('Netherlands', 'Slovenia')",475,31,0.001697793
Russia,Slovenia,2,"('Russia', 'Slovenia')",20,31,0.006451613
Mexico,Slovenia,6,"('Mexico', 'Slovenia')",46,31,0.025245442
Germany,Slovenia,1,"('Germany', 'Slovenia')",428,31,7.54E-05
Finland,Slovenia,1,"('Finland', 'Slovenia')",163,31,0.000197902
Bosnia & Herceg,Slovenia,1,"('Bosnia & Herceg', 'Slovenia')",3,31,0.010752688
Portugal,Slovenia,7,"('Portugal', 'Slovenia')",114,31,0.013865308
Malaysia,Slovenia,4,"('Malaysia', 'Slovenia')",46,31,0.011220196
Singapore,Slovenia,6,"('Singapore', 'Slovenia')",85,31,0.013662239
France,Slovenia,11,"('France', 'Slovenia')",593,31,0.006582168
Italy,Slovenia,4,"('Italy', 'Slovenia')",219,31,0.002356754
Croatia,Slovenia,3,"('Croatia', 'Slovenia')",6,31,0.048387097
Japan,Slovenia,1,"('Japan', 'Slovenia')",24,31,0.001344086
New Zealand,Slovenia,2,"('New Zealand', 'Slovenia')",146,31,0.000883783
Austria,Slovenia,3,"('Austria', 'Slovenia')",58,31,0.005005562
Estonia,Slovenia,2,"('Estonia', 'Slovenia')",13,31,0.009925558
Nigeria,Slovenia,3,"('Nigeria', 'Slovenia')",16,31,0.018145161
Egypt,Slovenia,2,"('Egypt', 'Slovenia')",21,31,0.006144393
Hungary,Slovenia,3,"('Hungary', 'Slovenia')",9,31,0.032258065
North Macedonia,Slovenia,2,"('North Macedonia', 'Slovenia')",6,31,0.021505376
Pakistan,Slovenia,2,"('Pakistan', 'Slovenia')",47,31,0.002745367
Colombia,Slovenia,2,"('Colombia', 'Slovenia')",17,31,0.007590133
Jernej,Slovenia,1,"('Jernej', 'Slovenia')",1,31,0.032258065
Mojca,Slovenia,1,"('Mojca', 'Slovenia')",1,31,0.032258065
Slovenia,Slovenia,3,"('Slovenia', 'Slovenia')",31,31,0.009365245
Lithuania,Slovenia,2,"('Lithuania', 'Slovenia')",10,31,0.012903226
Paulina Man Kei,Slovenia,1,"('Paulina Man Kei', 'Slovenia')",1,31,0.032258065
Barbara,Slovenia,1,"('Barbara', 'Slovenia')",6,31,0.005376344
Fidel,Slovenia,1,"('Fidel', 'Slovenia')",1,31,0.032258065
Jingqiu,Slovenia,2,"('Jingqiu', 'Slovenia')",4,31,0.032258065
Romania,Slovenia,2,"('Romania', 'Slovenia')",8,31,0.016129032
Mateja Kos,Slovenia,1,"('Mateja Kos', 'Slovenia')",1,31,0.032258065
Ehsan,Slovenia,1,"('Ehsan', 'Slovenia')",1,31,0.032258065
Polona,Slovenia,1,"('Polona', 'Slovenia')",1,31,0.032258065
Brigitte,Slovenia,2,"('Brigitte', 'Slovenia')",3,31,0.043010753
Abdulgawi Salim,Slovenia,2,"('Abdulgawi Salim', 'Slovenia')",2,31,0.064516129
Malta,Slovenia,2,"('Malta', 'Slovenia')",2,31,0.064516129
Luigina,Slovenia,2,"('Luigina', 'Slovenia')",2,31,0.064516129
Jian,Slovenia,2,"('Jian', 'Slovenia')",4,31,0.032258065
Marko,Slovenia,2,"('Marko', 'Slovenia')",2,31,0.064516129
Mollie,Slovenia,1,"('Mollie', 'Slovenia')",1,31,0.032258065
Sareh,Slovenia,1,"('Sareh', 'Slovenia')",1,31,0.032258065
Katarina Katja,Slovenia,1,"('Katarina Katja', 'Slovenia')",1,31,0.032258065
Maja,Slovenia,1,"('Maja', 'Slovenia')",1,31,0.032258065
Matej,Slovenia,2,"('Matej', 'Slovenia')",1,31,0.129032258
Natasa,Slovenia,1,"('Natasa', 'Slovenia')",1,31,0.032258065
Denmark,France,13,"('Denmark', 'France')",127,593,0.002244028
Australia,France,19,"('Australia', 'France')",853,593,0.00071368
Canada,France,66,"('Canada', 'France')",1030,593,0.007131747
Brazil,France,9,"('Brazil', 'France')",71,593,0.001923853
Belgium,France,40,"('Belgium', 'France')",208,593,0.012971851
Finland,France,10,"('Finland', 'France')",163,593,0.001034565
France,France,242,"('France', 'France')",593,593,0.166541068
Croatia,France,2,"('Croatia', 'France')",6,593,0.001124227
Austria,France,5,"('Austria', 'France')",58,593,0.000726871
Argentina,France,5,"('Argentina', 'France')",12,593,0.00351321
Estonia,France,4,"('Estonia', 'France')",13,593,0.002075496
David,France,3,"('David', 'France')",29,593,0.000523347
Egypt,France,3,"('Egypt', 'France')",21,593,0.000722717
Enrique,France,1,"('Enrique', 'France')",3,593,0.000562114
Adam,France,1,"('Adam', 'France')",1,593,0.001686341
Claudia,France,2,"('Claudia', 'France')",5,593,0.001349073
Dima,France,2,"('Dima', 'France')",3,593,0.002248454
Daniel,France,1,"('Daniel', 'France')",9,593,0.000187371
Ariane Berthoin,France,1,"('Ariane Berthoin', 'France')",1,593,0.001686341
Colombia,France,7,"('Colombia', 'France')",17,593,0.004860629
Cedric,France,2,"('Cedric', 'France')",2,593,0.003372681
Caroline,France,1,"('Caroline', 'France')",5,593,0.000337268
Felix,France,1,"('Felix', 'France')",5,593,0.000337268
Cameroon,France,1,"('Cameroon', 'France')",5,593,0.000337268
Florence,France,3,"('Florence', 'France')",1,593,0.015177066
Amal,France,1,"('Amal', 'France')",3,593,0.000562114
Cyrlene,France,1,"('Cyrlene', 'France')",1,593,0.001686341
Carine,France,1,"('Carine', 'France')",1,593,0.001686341
Chieh-Peng,France,1,"('Chieh-Peng', 'France')",1,593,0.001686341
E. Guenter,France,1,"('E. Guenter', 'France')",1,593,0.001686341
Eliane,France,2,"('Eliane', 'France')",1,593,0.006745363
Bjoern,France,1,"('Bjoern', 'France')",2,593,0.00084317
Antoinette,France,1,"('Antoinette', 'France')",2,593,0.00084317
Edina,France,1,"('Edina', 'France')",1,593,0.001686341
Fidel,France,1,"('Fidel', 'France')",1,593,0.001686341
Arthur,France,2,"('Arthur', 'France')",2,593,0.003372681
Angelica,France,1,"('Angelica', 'France')",1,593,0.001686341
Elisabeth,France,2,"('Elisabeth', 'France')",1,593,0.006745363
Adrian,France,1,"('Adrian', 'France')",3,593,0.000562114
Christophe,France,1,"('Christophe', 'France')",1,593,0.001686341
Christof,France,1,"('Christof', 'France')",2,593,0.00084317
Florian,France,1,"('Florian', 'France')",2,593,0.00084317
Daniela,France,1,"('Daniela', 'France')",1,593,0.001686341
Byungjin,France,1,"('Byungjin', 'France')",1,593,0.001686341
Benedicte,France,4,"('Benedicte', 'France')",1,593,0.02698145
Anastasia,France,2,"('Anastasia', 'France')",3,593,0.002248454
Aurelien,France,1,"('Aurelien', 'France')",1,593,0.001686341
Brigitte,France,3,"('Brigitte', 'France')",3,593,0.005059022
Abdulgawi Salim,France,2,"('Abdulgawi Salim', 'France')",2,593,0.003372681
Breeda,France,1,"('Breeda', 'France')",1,593,0.001686341
Carolina Serrano,France,1,"('Carolina Serrano', 'France')",1,593,0.001686341
Emmanuelle,France,1,"('Emmanuelle', 'France')",1,593,0.001686341
Elisa,France,3,"('Elisa', 'France')",1,593,0.015177066
Carole,France,3,"('Carole', 'France')",1,593,0.015177066
Avi,France,1,"('Avi', 'France')",1,593,0.001686341
Andreas,France,1,"('Andreas', 'France')",7,593,0.000240906
Charbel Jose Chiappetta,France,6,"('Charbel Jose Chiappetta', 'France')",4,593,0.015177066
Clement,France,1,"('Clement', 'France')",1,593,0.001686341
Armand,France,1,"('Armand', 'France')",1,593,0.001686341
Blanche,France,1,"('Blanche', 'France')",1,593,0.001686341
Bernard,France,1,"('Bernard', 'France')",1,593,0.001686341
Berangere,France,2,"('Berangere', 'France')",1,593,0.006745363
Evelyne,France,2,"('Evelyne', 'France')",1,593,0.006745363
Arsalan Mujahid,France,2,"('Arsalan Mujahid', 'France')",1,593,0.006745363
Fotios,France,2,"('Fotios', 'France')",1,593,0.006745363
Dana,France,1,"('Dana', 'France')",1,593,0.001686341
Armenia,France,1,"('Armenia', 'France')",1,593,0.001686341
Fiona,France,1,"('Fiona', 'France')",2,593,0.00084317
Charbel Jose,France,1,"('Charbel Jose', 'France')",1,593,0.001686341
Denmark,Netherlands,16,"('Denmark', 'Netherlands')",127,475,0.00424368
Australia,Netherlands,30,"('Australia', 'Netherlands')",853,475,0.002221262
Israel,Netherlands,3,"('Israel', 'Netherlands')",57,475,0.00033241
Canada,Netherlands,37,"('Canada', 'Netherlands')",1030,475,0.00279816
Brazil,Netherlands,8,"('Brazil', 'Netherlands')",71,475,0.001897702
Belgium,Netherlands,32,"('Belgium', 'Netherlands')",208,475,0.010364372
Ireland,Netherlands,3,"('Ireland', 'Netherlands')",73,475,0.000259553
Netherlands,Netherlands,159,"('Netherlands', 'Netherlands')",475,475,0.112048753
Mexico,Netherlands,3,"('Mexico', 'Netherlands')",46,475,0.000411899
Germany,Netherlands,39,"('Germany', 'Netherlands')",428,475,0.007481554
Finland,Netherlands,21,"('Finland', 'Netherlands')",163,475,0.005695835
India,Netherlands,2,"('India', 'Netherlands')",122,475,6.90E-05
Malaysia,Netherlands,3,"('Malaysia', 'Netherlands')",46,475,0.000411899
France,Netherlands,23,"('France', 'Netherlands')",593,475,0.001878051
Italy,Netherlands,13,"('Italy', 'Netherlands')",219,475,0.001624609
Croatia,Netherlands,3,"('Croatia', 'Netherlands')",6,475,0.003157895
Japan,Netherlands,2,"('Japan', 'Netherlands')",24,475,0.000350877
Austria,Netherlands,6,"('Austria', 'Netherlands')",58,475,0.001306715
Estonia,Netherlands,3,"('Estonia', 'Netherlands')",13,475,0.00145749
David,Netherlands,7,"('David', 'Netherlands')",29,475,0.003557169
Gerwin,Netherlands,1,"('Gerwin', 'Netherlands')",1,475,0.002105263
Jordan,Netherlands,2,"('Jordan', 'Netherlands')",9,475,0.000935673
Erik,Netherlands,1,"('Erik', 'Netherlands')",3,475,0.000701754
Maria,Netherlands,1,"('Maria', 'Netherlands')",15,475,0.000140351
Allan,Netherlands,1,"('Allan', 'Netherlands')",1,475,0.002105263
Joele,Netherlands,1,"('Joele', 'Netherlands')",1,475,0.002105263
Alan,Netherlands,1,"('Alan', 'Netherlands')",5,475,0.000421053
Adam,Netherlands,1,"('Adam', 'Netherlands')",1,475,0.002105263
Lebanon,Netherlands,3,"('Lebanon', 'Netherlands')",39,475,0.00048583
Kenya,Netherlands,1,"('Kenya', 'Netherlands')",4,475,0.000526316
Katri,Netherlands,1,"('Katri', 'Netherlands')",1,475,0.002105263
Claudia,Netherlands,2,"('Claudia', 'Netherlands')",5,475,0.001684211
Daniel,Netherlands,2,"('Daniel', 'Netherlands')",9,475,0.000935673
Marco,Netherlands,1,"('Marco', 'Netherlands')",5,475,0.000421053
Ans,Netherlands,3,"('Ans', 'Netherlands')",3,475,0.006315789
Colombia,Netherlands,3,"('Colombia', 'Netherlands')",17,475,0.001114551
Luuk,Netherlands,1,"('Luuk', 'Netherlands')",1,475,0.002105263
Hans,Netherlands,1,"('Hans', 'Netherlands')",2,475,0.001052632
Matthias,Netherlands,2,"('Matthias', 'Netherlands')",4,475,0.002105263
Mijntje,Netherlands,1,"('Mijntje', 'Netherlands')",1,475,0.002105263
Megan,Netherlands,3,"('Megan', 'Netherlands')",2,475,0.009473684
Mari,Netherlands,2,"('Mari', 'Netherlands')",6,475,0.001403509
Lithuania,Netherlands,3,"('Lithuania', 'Netherlands')",10,475,0.001894737
Maarten,Netherlands,1,"('Maarten', 'Netherlands')",1,475,0.002105263
Gerdien,Netherlands,1,"('Gerdien', 'Netherlands')",1,475,0.002105263
Dendi,Netherlands,2,"('Dendi', 'Netherlands')",1,475,0.008421053
Barbara,Netherlands,3,"('Barbara', 'Netherlands')",6,475,0.003157895
Marloes,Netherlands,1,"('Marloes', 'Netherlands')",1,475,0.002105263
Friederike,Netherlands,1,"('Friederike', 'Netherlands')",1,475,0.002105263
Antoinette,Netherlands,1,"('Antoinette', 'Netherlands')",2,475,0.001052632
Lammertjan,Netherlands,1,"('Lammertjan', 'Netherlands')",1,475,0.002105263
Mette,Netherlands,1,"('Mette', 'Netherlands')",2,475,0.001052632
Hsin-Hsuan Meg,Netherlands,1,"('Hsin-Hsuan Meg', 'Netherlands')",1,475,0.002105263
Kristel,Netherlands,1,"('Kristel', 'Netherlands')",1,475,0.002105263
Anne,Netherlands,2,"('Anne', 'Netherlands')",5,475,0.001684211
Fidel,Netherlands,1,"('Fidel', 'Netherlands')",1,475,0.002105263
Maiju,Netherlands,1,"('Maiju', 'Netherlands')",3,475,0.000701754
Franziska,Netherlands,1,"('Franziska', 'Netherlands')",1,475,0.002105263
Giovanni,Netherlands,1,"('Giovanni', 'Netherlands')",2,475,0.001052632
Laury,Netherlands,2,"('Laury', 'Netherlands')",1,475,0.008421053
Mamta,Netherlands,1,"('Mamta', 'Netherlands')",1,475,0.002105263
Marlene,Netherlands,1,"('Marlene', 'Netherlands')",2,475,0.001052632
Domenico,Netherlands,1,"('Domenico', 'Netherlands')",1,475,0.002105263
Dolf,Netherlands,1,"('Dolf', 'Netherlands')",1,475,0.002105263
Auke,Netherlands,1,"('Auke', 'Netherlands')",1,475,0.002105263
Emiel,Netherlands,1,"('Emiel', 'Netherlands')",1,475,0.002105263
Ehsan,Netherlands,1,"('Ehsan', 'Netherlands')",1,475,0.002105263
Joona,Netherlands,1,"('Joona', 'Netherlands')",2,475,0.001052632
Lonneke,Netherlands,1,"('Lonneke', 'Netherlands')",1,475,0.002105263
Dirk,Netherlands,2,"('Dirk', 'Netherlands')",4,475,0.002105263
Brigitte,Netherlands,2,"('Brigitte', 'Netherlands')",3,475,0.002807018
Nazim,Netherlands,1,"('Nazim', 'Netherlands')",1,475,0.002105263
Jan,Netherlands,1,"('Jan', 'Netherlands')",2,475,0.001052632
Adriaan,Netherlands,1,"('Adriaan', 'Netherlands')",1,475,0.002105263
Madelijne,Netherlands,1,"('Madelijne', 'Netherlands')",1,475,0.002105263
Luminita,Netherlands,1,"('Luminita', 'Netherlands')",1,475,0.002105263
Marcel,Netherlands,3,"('Marcel', 'Netherlands')",1,475,0.018947368
Mieneke,Netherlands,1,"('Mieneke', 'Netherlands')",1,475,0.002105263
Andreas,Netherlands,1,"('Andreas', 'Netherlands')",7,475,0.000300752
Mikko,Netherlands,1,"('Mikko', 'Netherlands')",1,475,0.002105263
Armin Pircher,Netherlands,1,"('Armin Pircher', 'Netherlands')",2,475,0.001052632
Jean-Pierre,Netherlands,2,"('Jean-Pierre', 'Netherlands')",1,475,0.008421053
Natalija,Netherlands,2,"('Natalija', 'Netherlands')",2,475,0.004210526
Desiree,Netherlands,1,"('Desiree', 'Netherlands')",1,475,0.002105263
