Year,CV,Gini,Theil,Entropy
1982,4.358898943540674,0.95,,-0.0
1983,4.358898943540674,0.95,,-0.0
1984,3.8793533889102423,0.9388888888888889,,0.34883209584303193
1985,3.895313772695995,0.9392857142857143,,0.3404997784712986
1986,4.358898943540673,0.9500000000000001,,-0.0
1987,3.824264635194589,0.9375,,0.37677016125643675
1988,4.358898943540674,0.95,,-0.0
1989,4.358898943540674,0.95,,-0.0
1990,4.00699388569536,0.9420000000000001,,0.2787693717685874
1991,4.358898943540674,0.9500000000000002,,-0.0
1992,3.8085013617259573,0.9370967741935484,,0.38454291975622856
1993,3.8793533889102423,0.9388888888888889,,0.34883209584303193
1994,4.069574507607382,0.9434782608695654,,0.2410883129928447
1995,4.028026812224566,0.9425,,0.2663844632679204
1996,4.245585943070756,0.9475,,0.11690684913753106
1997,4.273116305684664,0.9481132075471698,,0.09359996324581574
1998,3.2250945052666644,0.8372222222222222,,1.1455137735463896
1999,2.941261475354356,0.8464102564102564,,1.2499970180094295
2000,3.001593964301404,0.8468749999999999,,1.229064900945025
2001,2.8498297817367977,0.8049407114624506,,1.4082271437159053
2002,2.919585517130254,0.8267857142857142,,1.323744949841761
2003,2.356391174036977,0.7294642857142858,,1.7781898129187244
2004,2.768346109011804,0.8126062322946177,,1.4245049686790852
2005,2.9303430080872586,0.8222044728434506,,1.3322522400278816
2006,2.318682676938632,0.7255033557046979,,1.8019499266422867
2007,2.309885911098178,0.7407780979827089,,1.7750290182000958
2008,2.2625346554756027,0.709805510534846,,1.859628066610084
2009,2.0761264522683613,0.6708092485549133,0.9962865167815624,1.9994457567724286
2010,1.7469072943447135,0.6071843251088533,0.7778159147640578,2.2179163587899335
2011,1.8504783816557853,0.5983091787439614,0.8053397057146683,2.190392567839323
2012,1.7335583318123216,0.6271428571428571,0.802796786540047,2.192935487013944
2013,1.7116017188699628,0.6099131693198264,0.7682167512810576,2.2275155222729337
2014,1.4405463539621561,0.567384370015949,0.6202453842693221,2.3754868892846686
2015,1.7530564736575491,0.6117198335644939,0.7876483739475187,2.2080838996064722
2016,1.3724127996527429,0.6059032716927454,0.6620678537677774,2.3336644197862135
2017,1.5274802660096265,0.6055228276877761,0.702096664263409,2.293635609290582
2018,1.4269341615123443,0.5743654822335025,0.625749561258051,2.3699827122959403
2019,1.5619169568135198,0.6266533066132265,0.7510060086176064,2.244726264936385
2020,1.3033965599895498,0.5873611111111111,0.6163652083652474,2.3793670651887435
2021,1.4709477148262617,0.5957553956834533,0.6749235239834669,2.3208087495705243
2022,1.386543033936469,0.5606232294617565,0.601171327712549,2.3945609458414423
2023,1.4915569197915848,0.6385350318471338,,2.2394440065497285
