,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Finland,603.0,4.0,26.0,6.0,3.0,18.0,3.0,63.0,34.0,109.0,48.0,11.0,,35.0,4.0,93.0,90.0,,,,,46.0,70.0,298.0,132.0,39.0,1394.0,323.0,22.0,126.0,,34.0,21.0,41.0,22.0,120.0,709.0,138.0,1.0,307.0,3.0,525.0,,39.0,90.0,45.0,24.0,22.0,,12.0,183.0,939.0,2129.0,40.0,388.0
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,98.0,4.0,11.0,1.0,2.0,12.0,198.0,36.0,7.0,182.0,331.0,11.0,,16.0,,65.0,45.0,46.0,,,,,31.0,173.0,60.0,24.0,240.0,861.0,,71.0,,32.0,11.0,17.0,13.0,69.0,7.0,30.0,,179.0,2.0,2377.0,2.0,29.0,78.0,12.0,19.0,12.0,,19.0,60.0,43.0,915.0,105.0,29.0
Portugal,15.0,82.0,122.0,6.0,4.0,36.0,51.0,86.0,17.0,8.0,89.0,1.0,,18.0,,53.0,1085.0,70.0,,,,31.0,,376.0,50.0,21.0,109.0,52.0,54.0,1619.0,,10.0,25.0,178.0,5.0,36.0,29.0,10.0,,354.0,2.0,558.0,,40.0,5172.0,6.0,22.0,4.0,,16.0,10.0,10.0,182.0,5.0,2.0
Netherlands,149.0,112.0,1475.0,496.0,6.0,30.0,805.0,337.0,85.0,59.0,387.0,22.0,,910.0,1.0,254.0,1234.0,298.0,,,,173.0,376.0,,297.0,184.0,288.0,350.0,75.0,802.0,,57.0,109.0,2288.0,114.0,219.0,138.0,114.0,,1020.0,12.0,24815.0,59.0,225.0,203.0,47.0,71.0,58.0,,,111.0,176.0,4638.0,23.0,63.0
Mexico,,5.0,4.0,1.0,,,5.0,108.0,,592.0,37.0,,,,,290.0,394.0,132.0,,,,60.0,50.0,297.0,,30.0,158.0,57.0,,2542.0,,34.0,5.0,108.0,20.0,1338.0,3.0,,,2246.0,,,,,93.0,,87.0,,,6.0,26.0,,,84.0,
Ireland,75.0,2.0,62.0,51.0,2.0,1.0,352.0,38.0,3.0,61.0,32.0,7.0,,11.0,8.0,29.0,38.0,39.0,,,,24.0,21.0,184.0,30.0,,38.0,23.0,18.0,72.0,,801.0,30.0,79.0,9.0,705.0,8.0,39.0,55.0,458.0,11.0,474.0,,6.0,30.0,26.0,6.0,85.0,,46.0,11.0,176.0,1471.0,63.0,10.0
Sweden,1854.0,4.0,347.0,39.0,10.0,19.0,1551.0,115.0,31.0,77.0,63.0,46.0,,71.0,6.0,203.0,372.0,1394.0,,,,240.0,109.0,288.0,158.0,38.0,,436.0,39.0,269.0,,53.0,29.0,62.0,26.0,201.0,126.0,120.0,2.0,487.0,47.0,1382.0,3.0,123.0,112.0,103.0,17.0,30.0,,52.0,198.0,263.0,3246.0,17.0,56.0
Norway,338.0,1.0,62.0,214.0,6.0,31.0,299.0,58.0,40.0,52.0,63.0,9.0,,102.0,5.0,90.0,75.0,323.0,,,,861.0,52.0,350.0,57.0,23.0,436.0,,48.0,124.0,,,35.0,54.0,22.0,99.0,86.0,63.0,,170.0,8.0,968.0,17.0,60.0,116.0,26.0,,21.0,,40.0,80.0,100.0,907.0,216.0,80.0
Croatia,,780.0,,,,,,914.0,,30.0,15.0,,,,1.0,121.0,1153.0,22.0,,,,,54.0,75.0,,18.0,39.0,48.0,,34.0,,3.0,1.0,,6.0,11.0,,2.0,,,1.0,24.0,12.0,,,1.0,3.0,,,10.0,,1.0,,4.0,1.0
