,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Hungary,0.693147181,0.693147181,1.609437912,0,0,0,3.17805383,3.091042453,0,5.402677382,0,2.302585093,3.850147602,0,0,3.970291914,4.025351691,3.951243719,6.052089169,0,0,2.890371758,3.433987204,5.323009979,2.63905733,3.135494216,3.850147602,3.713572067,0,5.283203729,7.82284529,2.564949357,3.258096538,4.343805422,3.218875825,6.03787092,1.609437912,2.079441542,0,4.605170186,0,4.553876892,0,0,2.48490665,0.693147181,1.098612289,2.564949357,0,0,0,0,5.164785974,3.610917913,0
Lebanon,2.079441542,2.079441542,1.609437912,2.397895273,2.302585093,2.397895273,2.63905733,2.48490665,2.302585093,5.356586275,2.302585093,0,3.610917913,2.302585093,2.397895273,3.761200116,3.828641396,3.737669618,6.02827852,2.302585093,0,2.079441542,3.044522438,5.272999559,1.386294361,2.564949357,3.610917913,3.433987204,2.302585093,5.231108617,7.818832444,1.098612289,2.772588722,4.204692619,2.708050201,6.013715156,1.609437912,0.693147181,2.197224577,4.49980967,2.397895273,4.442651256,2.302585093,2.302585093,0.693147181,2.079441542,1.945910149,1.098612289,0,0,2.197224577,2.302585093,5.105945474,3.295836866,2.197224577
South Korea,3.80666249,3.80666249,3.737669618,3.871201011,3.850147602,3.871201011,3.135494216,3.218875825,3.850147602,5.164785974,3.850147602,3.610917913,0,3.850147602,3.871201011,1.791759469,2.197224577,1.609437912,5.934894196,3.850147602,0,3.36729583,2.772588722,5.062595033,3.496507561,3.17805383,0,1.791759469,3.850147602,5.010635294,7.803843304,3.526360525,3.044522438,3.401197382,3.091042453,5.918893854,3.737669618,3.663561646,3.828641396,3.970291914,3.871201011,3.871201011,3.850147602,3.850147602,3.555348061,3.80666249,3.784189634,3.526360525,0,0,3.828641396,3.850147602,4.852030264,2.302585093,3.828641396
Indonesia,0.693147181,0.693147181,1.609437912,0,0,0,3.17805383,3.091042453,0,5.402677382,0,2.302585093,3.850147602,0,0,3.970291914,4.025351691,3.951243719,6.052089169,0,0,2.890371758,3.433987204,5.323009979,2.63905733,3.135494216,3.850147602,3.713572067,0,5.283203729,7.82284529,2.564949357,3.258096538,4.343805422,3.218875825,6.03787092,1.609437912,2.079441542,0,4.605170186,0,4.553876892,0,0,2.48490665,0.693147181,1.098612289,2.564949357,0,0,0,0,5.164785974,3.610917913,0
Mauritius,1.098612289,1.098612289,1.791759469,0,0,0,3.218875825,3.135494216,0,5.407171771,0,2.397895273,3.871201011,0,0,3.988984047,4.043051268,3.970291914,6.054439346,0,0,2.944438979,3.465735903,5.327876169,2.708050201,3.17805383,3.871201011,3.737669618,0,5.288267031,7.823245691,2.63905733,3.295836866,4.356708827,3.258096538,6.040254711,1.791759469,2.197224577,0.693147181,4.615120517,0,4.564348191,0,0,2.564949357,1.098612289,1.386294361,2.63905733,0,0,0.693147181,0,5.170483995,3.63758616,0.693147181
Switzerland,3.931825633,3.931825633,3.871201011,3.988984047,3.970291914,3.988984047,3.36729583,3.433987204,3.970291914,5.129898715,3.970291914,3.761200116,1.791759469,3.970291914,3.988984047,0,1.098612289,0,5.918893854,3.970291914,0,3.555348061,3.091042453,5.023880521,3.663561646,3.401197382,1.791759469,2.48490665,3.970291914,4.9698133,7.80139132,3.688879454,3.295836866,3.17805383,3.33220451,5.902633333,3.871201011,3.80666249,3.951243719,3.850147602,3.988984047,3.737669618,3.970291914,3.970291914,3.713572067,3.931825633,3.912023005,3.688879454,0,0,3.951243719,3.970291914,4.804021045,2.772588722,3.951243719
Italy,3.988984047,3.988984047,3.931825633,4.043051268,4.025351691,4.043051268,3.465735903,3.526360525,4.025351691,5.111987788,4.025351691,3.828641396,2.197224577,4.025351691,4.043051268,1.098612289,0,1.386294361,5.910796644,4.025351691,0,3.63758616,3.218875825,5.003946306,3.737669618,3.496507561,2.197224577,2.708050201,4.025351691,4.94875989,7.80016307,3.761200116,3.401197382,3.044522438,3.433987204,5.894402834,3.931825633,3.871201011,4.007333185,3.784189634,4.043051268,3.663561646,4.025351691,4.025351691,3.784189634,3.988984047,3.970291914,3.761200116,0,0,4.007333185,4.025351691,4.779123493,2.944438979,4.007333185
Finland,3.912023005,3.912023005,3.850147602,3.970291914,3.951243719,3.970291914,3.33220451,3.401197382,3.951243719,5.135798437,3.951243719,3.737669618,1.609437912,3.951243719,3.970291914,0,1.386294361,0,5.92157842,3.951243719,0,3.526360525,3.044522438,5.030437921,3.63758616,3.36729583,1.609437912,2.397895273,3.951243719,4.976733742,7.801800402,3.663561646,3.258096538,3.218875825,3.295836866,5.905361848,3.850147602,3.784189634,3.931825633,3.871201011,3.970291914,3.761200116,3.951243719,3.951243719,3.688879454,3.912023005,3.891820298,3.663561646,0,0,3.931825633,3.951243719,4.812184355,2.708050201,3.931825633
United Kingdom,6.047372179,6.047372179,6.040254711,6.054439346,6.052089169,6.054439346,5.993961427,5.998936562,6.052089169,5.313205979,6.052089169,6.02827852,5.934894196,6.052089169,6.054439346,5.918893854,5.910796644,5.92157842,0,6.052089169,0,6.008813185,5.976350909,5.393627546,6.018593214,5.996452089,5.934894196,5.950642553,6.052089169,5.429345629,7.636269603,6.021023349,5.988961417,5.85220248,5.991464547,1.791759469,6.040254711,6.033086222,6.049733455,5.783825182,6.054439346,5.799092654,6.052089169,6.052089169,6.023447593,6.047372179,6.045005314,6.021023349,0,0,6.049733455,6.052089169,5.521460918,5.96100534,6.049733455
Vietnam,0.693147181,0.693147181,1.609437912,0,0,0,3.17805383,3.091042453,0,5.402677382,0,2.302585093,3.850147602,0,0,3.970291914,4.025351691,3.951243719,6.052089169,0,0,2.890371758,3.433987204,5.323009979,2.63905733,3.135494216,3.850147602,3.713572067,0,5.283203729,7.82284529,2.564949357,3.258096538,4.343805422,3.218875825,6.03787092,1.609437912,2.079441542,0,4.605170186,0,4.553876892,0,0,2.48490665,0.693147181,1.098612289,2.564949357,0,0,0,0,5.164785974,3.610917913,0
Turkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,2.772588722,2.772588722,2.564949357,2.944438979,2.890371758,2.944438979,1.791759469,1.386294361,2.890371758,5.318119994,2.890371758,2.079441542,3.36729583,2.890371758,2.944438979,3.555348061,3.63758616,3.526360525,6.008813185,2.890371758,0,0,2.564949357,5.231108617,1.386294361,1.609437912,3.36729583,3.135494216,2.890371758,5.187385806,7.815610532,1.609437912,2.079441542,4.077537444,1.945910149,5.993961427,2.564949357,2.302585093,2.833213344,4.406719247,2.944438979,4.343805422,2.890371758,2.890371758,1.791759469,2.772588722,2.708050201,1.609437912,0,0,2.833213344,2.890371758,5.056245805,2.944438979,2.833213344
Portugal,3.36729583,3.36729583,3.258096538,3.465735903,3.433987204,3.465735903,1.945910149,2.197224577,3.433987204,5.252273428,3.433987204,3.044522438,2.772588722,3.433987204,3.465735903,3.091042453,3.218875825,3.044522438,5.976350909,3.433987204,0,2.564949357,0,5.159055299,2.833213344,2.079441542,2.772588722,2.302585093,3.433987204,5.111987788,7.810352684,2.890371758,1.609437912,3.828641396,1.791759469,5.96100534,3.258096538,3.135494216,3.401197382,4.234106505,3.465735903,4.158883083,3.433987204,3.433987204,2.944438979,3.36729583,3.33220451,2.890371758,0,0,3.401197382,3.433987204,4.9698133,1.791759469,3.401197382
Netherlands,5.313205979,5.313205979,5.298317367,5.327876169,5.323009979,5.327876169,5.198497031,5.209486153,5.323009979,2.833213344,5.323009979,5.272999559,5.062595033,5.323009979,5.327876169,5.023880521,5.003946306,5.030437921,5.393627546,5.323009979,0,5.231108617,5.159055299,0,5.252273428,5.204006687,5.062595033,5.099866428,5.323009979,2.079441542,7.737180078,5.257495372,5.187385806,4.852030264,5.192956851,5.365976015,5.298317367,5.283203729,5.318119994,4.65396035,5.327876169,4.700480366,5.323009979,5.323009979,5.262690189,5.313205979,5.308267697,5.257495372,0,0,5.318119994,5.323009979,3.401197382,5.123963979,5.318119994
Mexico,2.48490665,2.48490665,2.197224577,2.708050201,2.63905733,2.708050201,2.302585093,2.079441542,2.63905733,5.33753808,2.63905733,1.386294361,3.496507561,2.63905733,2.708050201,3.663561646,3.737669618,3.63758616,6.018593214,2.63905733,0,1.386294361,2.833213344,5.252273428,0,2.197224577,3.496507561,3.295836866,2.63905733,5.209486153,7.817222786,0,2.48490665,4.143134726,2.397895273,6.003887067,2.197224577,1.791759469,2.564949357,4.454347296,2.708050201,4.394449155,2.63905733,2.63905733,0.693147181,2.48490665,2.397895273,0,0,0,2.564949357,2.63905733,5.081404365,3.135494216,2.564949357
Ireland,3.044522438,3.044522438,2.890371758,3.17805383,3.135494216,3.17805383,0,0,3.135494216,5.293304825,3.135494216,2.564949357,3.17805383,3.135494216,3.17805383,3.401197382,3.496507561,3.36729583,5.996452089,3.135494216,0,1.609437912,2.079441542,5.204006687,2.197224577,0,3.17805383,2.890371758,3.135494216,5.159055299,7.813591553,2.302585093,1.098612289,3.988984047,0.693147181,5.981414211,2.890371758,2.708050201,3.091042453,4.343805422,3.17805383,4.276666119,3.135494216,3.135494216,2.397895273,3.044522438,2.995732274,2.302585093,0,0,3.091042453,3.135494216,5.023880521,2.63905733,3.091042453
Sweden,3.80666249,3.80666249,3.737669618,3.871201011,3.850147602,3.871201011,3.135494216,3.218875825,3.850147602,5.164785974,3.850147602,3.610917913,0,3.850147602,3.871201011,1.791759469,2.197224577,1.609437912,5.934894196,3.850147602,0,3.36729583,2.772588722,5.062595033,3.496507561,3.17805383,0,1.791759469,3.850147602,5.010635294,7.803843304,3.526360525,3.044522438,3.401197382,3.091042453,5.918893854,3.737669618,3.663561646,3.828641396,3.970291914,3.871201011,3.871201011,3.850147602,3.850147602,3.555348061,3.80666249,3.784189634,3.526360525,0,0,3.828641396,3.850147602,4.852030264,2.302585093,3.828641396
Norway,3.663561646,3.663561646,3.583518938,3.737669618,3.713572067,3.737669618,2.833213344,2.944438979,3.713572067,5.198497031,3.713572067,3.433987204,1.791759469,3.713572067,3.737669618,2.48490665,2.708050201,2.397895273,5.950642553,3.713572067,0,3.135494216,2.302585093,5.099866428,3.295836866,2.890371758,1.791759469,0,3.713572067,5.049856007,7.806289289,3.33220451,2.708050201,3.583518938,2.772588722,5.934894196,3.583518938,3.496507561,3.688879454,4.077537444,3.737669618,3.988984047,3.713572067,3.713572067,3.36729583,3.663561646,3.63758616,3.33220451,0,0,3.688879454,3.713572067,4.8978398,1.386294361,3.688879454
Croatia,0.693147181,0.693147181,1.609437912,0,0,0,3.17805383,3.091042453,0,5.402677382,0,2.302585093,3.850147602,0,0,3.970291914,4.025351691,3.951243719,6.052089169,0,0,2.890371758,3.433987204,5.323009979,2.63905733,3.135494216,3.850147602,3.713572067,0,5.283203729,7.82284529,2.564949357,3.258096538,4.343805422,3.218875825,6.03787092,1.609437912,2.079441542,0,4.605170186,0,4.553876892,0,0,2.48490665,0.693147181,1.098612289,2.564949357,0,0,0,0,5.164785974,3.610917913,0
Spain,5.272999559,5.272999559,5.257495372,5.288267031,5.283203729,5.288267031,5.153291594,5.164785974,5.283203729,3.218875825,5.283203729,5.231108617,5.010635294,5.283203729,5.288267031,4.9698133,4.94875989,4.976733742,5.429345629,5.283203729,0,5.187385806,5.111987788,2.079441542,5.209486153,5.159055299,5.010635294,5.049856007,5.283203729,0,7.740664402,5.214935758,5.141663557,4.787491743,5.147494477,5.402677382,5.257495372,5.241747015,5.278114659,4.574710979,5.288267031,4.624972813,5.283203729,5.283203729,5.220355825,5.272999559,5.267858159,5.214935758,0,0,5.278114659,5.283203729,3.091042453,5.075173815,5.278114659
USA,7.822044008,7.822044008,7.82084088,7.823245691,7.82284529,7.823245691,7.813187268,7.813995675,7.82284529,7.729735331,7.82284529,7.818832444,7.803843304,7.82284529,7.823245691,7.80139132,7.80016307,7.801800402,7.636269603,7.82284529,0,7.815610532,7.810352684,7.737180078,7.817222786,7.813591553,7.803843304,7.806289289,7.82284529,7.740664402,0,7.817625443,7.812378206,7.791522819,7.812782819,7.639161172,7.82084088,7.819636302,7.822444729,7.781973234,7.823245691,7.784057003,7.82284529,7.82284529,7.818027939,7.822044008,7.821643126,7.817625443,0,0,7.822444729,7.82284529,7.750184162,7.807916629,7.822444729
