Country Code,1993-2002,2013-2022,2003-2012
TON,0,0,0
TSA,0.632789091,0.761005902,0.633026273
TSS,0,0.444125682,0
TTO,0.116114285,0.069219,0.073780002
TUN,0.54302001,0.676381004,0.654138574
TUR,0.465417142,0.666994002,1.133972214
TUV,0,0,0
TZA,0,0.353845,0.514559984
UGA,0.367559999,0.295256251,0.142649993
UKR,1.018846661,0.87166701,0.503687782
UMC,0.672730532,1.036827103,1.616047393
URY,0.246401668,0.37363375,0.394125007
USA,2.538791452,2.636150002,3.007804447
UZB,0.333210001,0.207211,0.144571111
VCT,0.076989999,0,0
VEN,0,0.22213125,0.327830002
VGB,0,0,0
VIR,0.06617,0.03195,0
VNM,0.192729995,0.149550006,0.383282006
VUT,0,0,0
WLD,2.013496918,1.985799203,2.252520244
WSM,0,0,0
XKX,0,0,0
YEM,0,0,0
ZAF,0.584589988,0.732541007,0.690345004
ZMB,0.00795,0.083454997,0
ZWE,0,0,0
