Country Code,1993-2002,2013-2022,2003-2012
TUV,0,0,0
TZA,0,35.96654129,19.15065002
UGA,0,39.61943817,28.72612
UKR,0,1359.546892,946.7272339
UMC,702.0374871,967.6465331,1184.042103
URY,292.5595449,576.6275452,730.4808553
USA,3408.953474,3636.574316,4032.354065
UZB,636.1288045,572.5627563,486.7026876
VCT,0,0,0
VEN,61.88836899,174.4496109,282.778361
VGB,0,0,0
VIR,0,0,0
VNM,116.2745895,0,726.5417725
VUT,0,0,0
WLD,1078.134258,1229.814671,1455.151417
WSM,0,0,0
XKX,0,0,0
YEM,0,0,0
ZAF,245.6448593,371.5719391,479.1306343
ZMB,54.76807022,42.45222855,0
ZWE,0,99.44352722,0
