Year,Argentina,Australia,Austria,Bangladesh,Belgium,Brazil,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Denmark,Egypt,Finland,France,Germany,Ghana,Greece,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Lebanon,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Saudi Arabia,Singapore,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Thailand,Tunisia,USA,United Kingdom,Vietnam
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
1998,0,8,0,0,1,0,0,7,0,3,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,2,0,0,0,1,0,0,2,1,1,0,2,0,0,135,9,0
1999,0,6,0,0,4,2,0,11,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,3,3,0,2,1,0,0,0,1,0,0,0,0,1,0,6,0,13,0,0,0,0,133,17,0
2000,0,16,0,0,1,0,0,3,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,12,5,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,6,1,0,1,0,156,17,0
2001,0,12,0,0,6,0,0,18,1,3,0,0,0,0,1,0,3,1,3,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,3,1,1,0,4,0,1,0,0,168,19,0
2002,0,11,2,0,0,2,0,26,0,7,1,3,0,0,1,0,0,2,1,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,3,0,8,2,0,3,0,0,0,0,0,0,0,0,0,1,0,8,0,10,0,1,0,0,190,14,0
2003,0,17,0,0,5,0,0,19,0,20,0,0,0,1,1,0,5,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,20,2,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,15,2,3,0,0,186,24,0
2004,0,10,0,0,5,0,0,28,0,6,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,27,2,0,5,0,0,0,0,0,1,0,0,0,2,0,2,0,8,1,1,0,0,227,26,0
